Year,Decade,Named,Hurricanes,Major
1851,1850's,6,3,1
1852,1850's,5,5,1
1853,1850's,8,4,2
1854,1850's,5,3,1
1855,1850's,5,4,1
1856,1850's,6,4,2
1857,1850's,4,3,0
1858,1850's,6,6,0
1859,1850's,8,7,1
1860,1850's,7,6,1
1861,1860's,8,6,0
1862,1860's,6,3,0
1863,1860's,9,5,0
1864,1860's,5,3,0
1865,1860's,7,3,0
1866,1860's,7,6,1
1867,1860's,9,7,1
1868,1860's,4,3,0
1869,1860's,10,7,1
1870,1860's,11,10,2
1871,1870's,8,6,2
1872,1870's,5,4,0
1873,1870's,5,3,2
1874,1870's,7,4,0
1875,1870's,6,5,1
1876,1870's,5,4,2
1877,1870's,8,3,1
1878,1870's,12,10,2
1879,1870's,8,6,2
1880,1870's,11,9,2
1881,1880's,7,4,0
1882,1880's,6,4,2
1883,1880's,4,3,2
1884,1880's,4,4,1
1885,1880's,8,6,0
1886,1880's,12,10,4
1887,1880's,19,11,2
1888,1880's,9,6,2
1889,1880's,9,6,0
1890,1880's,4,2,1
1891,1890's,10,7,1
1892,1890's,9,5,0
1893,1890's,12,10,5
1894,1890's,7,5,4
1895,1890's,6,2,0
1896,1890's,7,6,2
1897,1890's,6,3,0
1898,1890's,11,5,1
1899,1890's,10,5,2
1900,1890's,7,3,2
1901,1900's,13,6,0
1902,1900's,5,3,0
1903,1900's,10,7,1
1904,1900's,6,4,0
1905,1900's,5,1,1
1906,1900's,11,6,3
1907,1900's,5,0,0
1908,1900's,10,6,1
1909,1900's,12,6,4
1910,1900's,5,3,1
1911,1910's,6,3,0
1912,1910's,7,4,1
1913,1910's,6,4,0
1914,1910's,1,0,0
1915,1910's,6,5,3
1916,1910's,15,10,5
1917,1910's,4,2,2
1918,1910's,6,4,1
1919,1910's,5,2,1
1920,1910's,5,4,0
1921,1920's,7,5,2
1922,1920's,5,3,1
1923,1920's,9,4,1
1924,1920's,11,5,2
1925,1920's,4,1,0
1926,1920's,11,8,6
1927,1920's,8,4,1
1928,1920's,6,4,1
1929,1920's,5,3,1
1930,1920's,3,2,2
1931,1930's,13,3,1
1932,1930's,15,6,4
1933,1930's,20,11,6
1934,1930's,13,7,1
1935,1930's,8,5,3
1936,1930's,17,7,1
1937,1930's,11,4,1
1938,1930's,9,4,2
1939,1930's,6,3,1
1940,1930's,9,6,0
1941,1940's,6,4,3
1942,1940's,11,4,1
1943,1940's,10,5,2
1944,1940's,14,8,3
1945,1940's,11,5,2
1946,1940's,6,3,1
1947,1940's,9,5,2
1948,1940's,9,6,4
1949,1940's,13,7,3
1950,1940's,13,11,8
1951,1950's,10,8,5
1952,1950's,7,6,3
1953,1950's,14,6,4
1954,1950's,11,8,2
1955,1950's,12,9,6
1956,1950's,8,4,2
1957,1950's,8,3,2
1958,1950's,10,7,5
1959,1950's,11,7,2
1960,1950's,7,4,2
1961,1960's,11,8,7
1962,1960's,5,3,1
1963,1960's,9,7,2
1964,1960's,12,6,6
1965,1960's,6,4,1
1966,1960's,11,7,3
1967,1960's,8,6,1
1968,1960's,8,4,0
1969,1960's,18,12,5
1970,1960's,10,5,2
1971,1970's,13,6,1
1972,1970's,7,3,0
1973,1970's,8,4,1
1974,1970's,11,4,2
1975,1970's,9,6,3
1976,1970's,10,6,2
1977,1970's,6,5,1
1978,1970's,12,5,2
1979,1970's,9,5,2
1980,1970's,11,9,2
1981,1980's,12,7,3
1982,1980's,6,2,1
1983,1980's,4,3,1
1984,1980's,13,5,1
1985,1980's,11,7,3
1986,1980's,6,4,0
1987,1980's,7,3,1
1988,1980's,12,5,3
1989,1980's,11,7,2
1990,1980's,14,8,1
1991,1990's,8,4,2
1992,1990's,7,4,1
1993,1990's,8,4,1
1994,1990's,7,3,0
1995,1990's,19,11,5
1996,1990's,13,9,6
1997,1990's,8,3,1
1998,1990's,14,10,3
1999,1990's,12,8,5
2000,1990's,15,8,3
2001,2000's,15,9,4
2002,2000's,12,4,2
2003,2000's,16,7,3
2004,2000's,15,9,6
2005,2000's,28,15,7
2006,2000's,10,5,2
2007,2000's,15,6,2
2008,2000's,16,8,5
2009,2000's,9,3,2
2010,2000's,19,12,5
2011,2010's,19,7,4
2012,2010's,19,10,2
2013,2010's,14,2,0
2014,2010's,8,6,2
2015,2010's,11,4,2
2016,2010's,15,7,4
2017,2010's,17,10,6
2018,2010's,15,8,2
2019,2010's,18,6,3
2020,2010's,30,14,7
