year,decade,inflationYOY
1913,1910s,0.0204
1914,1910s,0.01
1915,1910s,0.0198
1916,1910s,0.1262
1917,1910s,0.181
1918,1910s,0.2044
1919,1910s,0.1455
1920,1920s,0.0265
1921,1920s,-0.1082
1922,1920s,-0.0231
1923,1920s,0.0237
1924,1920s,0
1925,1920s,0.0347
1926,1920s,-0.0112
1927,1920s,-0.0226
1928,1920s,-0.0116
1929,1920s,0.0058
1930,1930s,-0.064
1931,1930s,-0.0932
1932,1930s,-0.1027
1933,1930s,0.0076
1934,1930s,0.0152
1935,1930s,0.0299
1936,1930s,0.0145
1937,1930s,0.0286
1938,1930s,-0.0278
1939,1930s,0
1940,1940s,0.0071
1941,1940s,0.0993
1942,1940s,0.0903
1943,1940s,0.0296
1944,1940s,0.023
1945,1940s,0.0225
1946,1940s,0.1813
1947,1940s,0.0884
1948,1940s,0.0299
1949,1940s,-0.0207
1950,1950s,0.0593
1951,1950s,0.06
1952,1950s,0.0075
1953,1950s,0.0075
1954,1950s,-0.0074
1955,1950s,0.0037
1956,1950s,0.0299
1957,1950s,0.029
1958,1950s,0.0176
1959,1950s,0.0173
1960,1960s,0.0136
1961,1960s,0.0067
1962,1960s,0.0133
1963,1960s,0.0164
1964,1960s,0.0097
1965,1960s,0.0192
1966,1960s,0.0346
1967,1960s,0.0304
1968,1960s,0.0472
1969,1960s,0.062
1970,1970s,0.0557
1971,1970s,0.0327
1972,1970s,0.0341
1973,1970s,0.0871
1974,1970s,0.1234
1975,1970s,0.0694
1976,1970s,0.0486
1977,1970s,0.067
1978,1970s,0.0902
1979,1970s,0.1329
1980,1980s,0.1252
1981,1980s,0.0892
1982,1980s,0.0383
1983,1980s,0.0379
1984,1980s,0.0395
1985,1980s,0.038
1986,1980s,0.011
1987,1980s,0.0443
1988,1980s,0.0442
1989,1980s,0.0465
1990,1990s,0.0611
1991,1990s,0.0306
1992,1990s,0.029
1993,1990s,0.0275
1994,1990s,0.0267
1995,1990s,0.0254
1996,1990s,0.0332
1997,1990s,0.017
1998,1990s,0.0161
1999,1990s,0.0268
2000,2000s,0.0339
2001,2000s,0.0155
2002,2000s,0.0238
2003,2000s,0.0188
2004,2000s,0.0326
2005,2000s,0.0342
2006,2000s,0.0254
2007,2000s,0.0408
2008,2000s,0.0009
2009,2000s,0.0272
2010,2010s,0.015
2011,2010s,0.0296
2012,2010s,0.0174
2013,2010s,0.015
2014,2010s,0.0076
2015,2010s,0.0073
2016,2010s,0.0207
2017,2010s,0.0211
2018,2010s,0.0191
2019,2010s,0.0229
2020,2020s,0.0136
2021,2020s,0.0704
2022,2020s,0.0645
