gender,ideal,height,armspan,forearm,hand,leg,foot,semester
female,64,59.75,58.5,15,6.5,16,8.5,F15
female,64,59.75,58.5,15,6.5,16,8.5,F15
female,65,60,61,16,7,16,8.5,F13
female,63,60,58,15,6.25,16.25,9.5,F15
female,68,60,62,15,6,18,9,S13
female,64,60,60,15,6,16,8,Sum13
female,,60.5,60,15.5,5.5,17.75,8.5,S14
female,65,60.5,61.5,15,7,16.5,8.5,Sum14
female,66,61,63,16.5,7,19,9.5,F15
female,63,61,59,14.75,6,15.75,8.75,S13
female,62,61,60,16,6.5,19,8.5,S13
female,60,61,61,17.5,6.5,15.5,9.5,S14
female,65,61,58,15.5,6,18,8,S16
female,68,61,62,15,6,17,9,S17
female,64,61,65,10,6.5,17,9.25,S18
female,65,61.5,60,15.25,6.5,17,9,F13
female,65,61.5,63,16.25,7.25,19.25,9.5,F15
female,65,61.5,61.5,17.5,6.75,15,10.25,S14
female,60,61.5,62.5,17,6.25,16,9.75,S14
female,70,61.9,61.9,15.5,7,17,9,F15
female,67,62,57,16,6.5,19.5,9,F13
female,65,62,64.5,17,7,17.5,9,F13
female,64,62,67,17,7.5,18,9.5,F13
female,65,62,61,17,5,12,7,S13
female,66,62,63,16.5,7,17,9.5,S13
female,63,62,62,15,6.5,15,9,S14
female,65,62,62,18.5,7.75,16,9,S14
female,65,62,63.5,18.5,6.5,16,9.5,S14
female,62,62,62.5,15.5,6.5,17,8.5,S16
female,64.8,62,62.5,16,7,18,8.5,S16
female,68,62,63.75,15.5,7.25,17.5,9,S16
female,67,62,64,15,6,17,9,S16
female,60,62,61,15,6.5,18,9,S17
female,66,62,63.5,16,6.25,16.5,8,S17
female,63,62,65,16,6,18.5,9.5,S17
female,63,62,63.25,15.75,6.75,17,8.5,S18
female,65,62,61.75,15,7,19,8.5,S18
female,66,62,65,16,7.5,19,8.5,S18
female,62,62,59,17.5,6.5,16,8,Sum13
female,66,62.25,61.5,15.25,7.25,16,9,F15
female,64,62.25,64.25,15.25,6.75,17.75,9,S17
female,66,62.5,58,13.25,5.75,17.5,8,F13
female,66,62.5,61.5,15.5,7,16.25,10,F13
female,66,62.5,63,16.2,6.6,17.1,9.2,F15
female,62,62.5,61,15.5,7,18,9.5,S13
female,62,62.5,65,17,7,17,9.5,S13
female,64,62.5,63.25,16,7.5,16,7.5,S14
female,67,62.5,63.5,18,7,16.5,9.25,S14
female,72,62.5,61,16,7,18.5,10,S16
female,65,62.5,63,16.5,7,20,8.5,S16
female,65,62.5,63.1,16,6.5,18,9,S17
female,64,62.75,60.5,15.25,6.25,17,8,F15
female,60,63,57.5,16,6.5,17,9,F13
female,61,63,62.75,15.5,6.75,17.5,8.5,F13
female,64,63,61,17,6.5,18,8,F15
female,69,63,64.25,14,6.5,15.5,8.5,F15
female,64,63,63,16,7,15,8,S13
female,63,63,64.5,16,7,16,9,S13
female,65,63,60.5,15.5,6,18,9.5,S16
female,63,63,61,16,7,20,11,S16
female,67,63,62.5,16,7,17,8.5,S16
female,67,63,62.75,16,7,16.5,9.75,S16
female,63,63,63.25,16.25,6.5,17,8.75,S16
female,66,63,58,16,7,17,9.5,S17
female,63,63,59.25,15,7,17,10,S17
female,63,63,60,15.65,6.7,17.5,9.1,S17
female,65,63,61,15.5,6.5,16.5,9,S17
female,66,63,52,9,6.5,16,8.5,S18
female,65,63,63,15,7,17.5,8.5,S18
female,65,63,61.5,15.5,7,17,9,S18
female,72,63,63.5,10,6.25,17,9,S18
female,65,63,62,15,7,17.5,7.5,S18
female,66,63,59,15,6.75,16.75,8.5,Sum15
female,63,63,63,13,5,14,12,Sum15
male,67,63,62,16,7.5,18,10,Sum15
female,63,63,61.5,14.5,6.5,16,8.5,Sum16
female,67,63,62.5,16,7,18,9.5,Sum16
female,65,63.25,63,15.5,6.5,18,8.5,S17
female,65,63.5,60,16,6.75,17.5,9,F13
female,64,63.5,63,17,7.25,19,9,F13
female,65,63.5,66.25,16,7.5,17,9,F15
female,68,63.5,62,17.5,6.5,16,9,S14
female,64,63.5,62.5,17,6.75,16,9,S14
female,64,63.5,66.75,20,7.5,17.5,8.5,S14
female,69,63.5,60,15.25,6.5,17,8.75,S17
female,64,63.5,61,15.5,6.5,18,9,S17
female,63.5,63.5,63,17,6.75,18.5,8.5,S17
female,64,63.6,,14.75,6.5,13.2,8.6,S16
female,68,63.75,62,14.75,6.5,18.5,8.5,F13
female,63,63.75,64,18.25,7.25,17,8.5,S14
female,68,63.75,62.25,16.75,6.5,17.5,9.5,Sum15
female,68,64,60.5,16,7,20,6.5,F13
female,64,64,62,14,6.5,12,9,F13
female,64,64,64,17,7,18,9,F13
female,68,64,59.5,16,6.5,18,8.5,S13
female,66,64,61,18,7,18,9,S13
female,65,64,62,17,7,18,9,S13
female,66,64,62,17.5,7,19,11,S13
female,67,64,62,16,7,16,9,S13
female,66,64,62.5,15.5,6.5,15.5,9,S13
female,66,64,63,16.5,7,18,9,S13
female,67,64,63.75,17,6.75,16.25,9.5,S14
female,65,64,64.5,19,7.25,16.25,9.5,S14
female,66,64,64.5,17,6.5,16,9.5,S14
female,65,64,64.5,16.5,7,18.5,9.25,S16
female,65,64,50,16.5,7,13.25,9.5,S17
female,72,64,61,16,6,17,9,S17
female,64,64,61.5,15.5,7,17,9,S17
female,65,64,62,17,7,18.5,9.5,S17
female,67,64,63,16,6.75,18,9,S17
female,65,64,64,17,7,17,9,S17
female,64,64,65.5,16,6.75,17.5,9.5,S17
female,68,64,62.5,16,6.75,19,9.5,S18
female,73,64,64,16,7,17,9,Sum13
female,64,64,60.5,16.25,7,17,9,Sum14
female,62,64,61.5,16.25,6.75,17.5,8.5,Sum15
female,67,64.25,63.5,16.25,7,18,9,S17
female,64.8,64.25,64,16,6.75,20.25,8.5,S17
female,66,64.5,65.75,16,7.5,17,9,F13
female,65.75,64.5,61.5,15.25,7,17.25,9.25,F15
female,67,64.5,65,17,7,19,8.7,F15
female,67,64.5,67,17,7.25,17,9,S13
male,74,64.5,63,19,7,19,9,S13
female,64,64.5,64,17,7.5,17,9.5,S14
female,67,64.5,65,16,7,18,9.5,S14
female,64,64.5,63.5,16,7,18,8.5,S17
female,66,64.5,64.5,18,6.75,16,9.5,S17
female,65,64.5,64.5,16,7.5,16,9,Sum13
female,64.5,64.5,67.5,17.25,7.5,19,9.5,Sum15
female,67,64.5,67,17,7.5,18,9.5,Sum16
female,66,64.75,66.75,16.75,7.25,18.75,10,F15
female,65,64.75,64.5,19,7.5,16.5,10.75,S14
female,66,64.75,66,19.75,7,16.5,10,S14
female,68,64.75,63.25,15.75,7,18.25,9.5,Sum15
female,65,65,60,16,7,18,10,F13
female,62,65,64,17,7,17,9,F13
female,64,65,65.5,16.25,7.25,17.5,9.5,F13
female,65,65,66.5,15.5,7.25,17,9,F13
female,64,65,66.25,17,7,19,10,F15
male,72,65,69.35,17,7.25,20.25,10,F15
female,66,65,63,16.5,6.5,19,10,S13
female,65,65,65,17,7,17,9,S13
female,63,65,66,15,7,17,9.5,S13
female,68,65,67,17,6.5,15,10,S13
female,66,65,62,21,6.5,15.5,9.5,S14
female,65,65,63,20,8.25,16.75,7,S14
female,66,65,64,20,6.75,15.5,9.5,S14
female,68,65,64,16.5,7,16,9.5,S14
female,67,65,66,18.5,6.75,16.5,9.5,S14
female,65,65,61.5,15.5,6.5,18,10.5,S16
female,65,65,63,16,7,19,11,S16
female,67,65,64,15.5,6.5,19,9,S16
female,67,65,64,17,6,16,9,S16
