team,season,runs,atbats,hits,battingavg,homeruns,walks,strikeouts,stolenbases,OBP,SLG,OPS
ARI,2011,731,5421,1357,0.25,172,531,1249,133,0.322,0.413,0.736
ATL,2011,641,5528,1345,0.243,173,504,1260,77,0.308,0.387,0.695
BAL,2011,708,5585,1434,0.257,191,452,1120,81,0.316,0.413,0.729
BOS,2011,875,5710,1600,0.28,203,578,1108,102,0.349,0.461,0.81
CHC,2011,654,5549,1423,0.256,148,425,1202,69,0.314,0.401,0.715
CHW,2011,654,5502,1387,0.252,154,475,989,81,0.319,0.388,0.706
CIN,2011,735,5612,1438,0.256,183,535,1250,97,0.326,0.408,0.734
CLE,2011,704,5509,1380,0.25,154,494,1269,89,0.317,0.396,0.714
COL,2011,735,5544,1429,0.258,163,555,1201,118,0.329,0.41,0.739
DET,2011,787,5563,1540,0.277,169,521,1143,49,0.34,0.434,0.773
FLA,2011,625,5508,1358,0.247,149,542,1244,95,0.318,0.388,0.706
HOU,2011,615,5598,1442,0.258,95,401,1164,118,0.311,0.374,0.684
KCR,2011,730,5672,1560,0.275,129,442,1006,153,0.329,0.415,0.744
LAA,2011,667,5513,1394,0.253,155,442,1086,135,0.313,0.402,0.714
LAD,2011,644,5436,1395,0.257,117,498,1087,126,0.322,0.375,0.697
MIL,2011,721,5447,1422,0.261,185,481,1083,94,0.325,0.425,0.75
MIN,2011,619,5487,1357,0.247,103,440,1048,92,0.306,0.36,0.666
NYM,2011,718,5600,1477,0.264,108,571,1085,130,0.335,0.391,0.725
NYY,2011,867,5518,1452,0.263,222,627,1138,147,0.343,0.444,0.788
OAK,2011,645,5452,1330,0.244,114,509,1094,117,0.311,0.369,0.68
PHI,2011,713,5579,1409,0.253,153,539,1024,96,0.323,0.395,0.717
PIT,2011,610,5421,1325,0.244,107,489,1308,108,0.309,0.368,0.676
SDP,2011,593,5417,1284,0.237,91,501,1320,170,0.305,0.349,0.653
SEA,2011,556,5421,1263,0.233,109,435,1280,125,0.292,0.348,0.64
SFG,2011,570,5486,1327,0.242,121,448,1122,85,0.303,0.368,0.671
STL,2011,762,5532,1513,0.273,162,542,978,57,0.341,0.425,0.766
TBR,2011,707,5436,1324,0.244,172,571,1193,155,0.322,0.402,0.724
TEX,2011,855,5659,1599,0.283,210,475,930,143,0.34,0.46,0.8
TOR,2011,743,5559,1384,0.249,186,525,1184,131,0.317,0.413,0.73
WSN,2011,624,5441,1319,0.242,154,470,1323,106,0.309,0.383,0.691
ARI,2010,713,5473,1366,0.25,180,589,1529,86,0.325,0.416,0.74
ATL,2010,738,5463,1411,0.258,139,634,1140,63,0.339,0.401,0.74
BAL,2010,613,5554,1440,0.259,133,424,1056,76,0.316,0.386,0.702
BOS,2010,818,5646,1511,0.268,211,587,1140,68,0.339,0.451,0.79
CHC,2010,685,5512,1414,0.257,149,479,1236,55,0.32,0.401,0.721
CHW,2010,752,5484,1467,0.268,177,467,922,160,0.332,0.42,0.752
CIN,2010,790,5579,1515,0.272,188,522,1218,93,0.338,0.436,0.774
CLE,2010,646,5487,1362,0.248,128,545,1184,91,0.322,0.378,0.7
COL,2010,770,5530,1452,0.263,173,585,1274,99,0.336,0.425,0.76
DET,2010,751,5643,1515,0.268,152,546,1147,69,0.335,0.415,0.75
FLA,2010,719,5531,1403,0.254,152,514,1375,92,0.321,0.403,0.724
HOU,2010,611,5452,1348,0.247,108,415,1025,100,0.303,0.362,0.665
KCR,2010,676,5604,1534,0.274,121,471,905,115,0.331,0.399,0.73
LAA,2010,681,5488,1363,0.248,155,466,1070,104,0.311,0.39,0.702
LAD,2010,667,5426,1368,0.252,120,533,1184,92,0.322,0.379,0.7
MIL,2010,750,5606,1471,0.262,182,546,1216,81,0.335,0.424,0.759
MIN,2010,781,5568,1521,0.273,142,559,967,68,0.341,0.422,0.762
NYM,2010,656,5465,1361,0.249,128,502,1095,130,0.314,0.383,0.697
NYY,2010,859,5567,1485,0.267,201,662,1136,103,0.35,0.436,0.786
OAK,2010,663,5448,1396,0.256,109,527,1061,156,0.324,0.378,0.702
PHI,2010,772,5581,1451,0.26,166,560,1064,108,0.332,0.413,0.745
PIT,2010,587,5386,1303,0.242,126,463,1207,87,0.304,0.373,0.678
SDP,2010,665,5434,1338,0.246,132,538,1183,124,0.317,0.371,0.689
SEA,2010,513,5409,1274,0.236,101,459,1184,142,0.298,0.339,0.637
SFG,2010,697,5488,1411,0.257,162,487,1099,55,0.321,0.408,0.729
STL,2010,736,5542,1456,0.263,150,541,1027,79,0.332,0.402,0.733
TBR,2010,802,5439,1343,0.247,160,672,1292,172,0.333,0.403,0.736
TEX,2010,787,5635,1556,0.276,162,511,986,123,0.338,0.419,0.757
TOR,2010,755,5495,1364,0.248,257,471,1164,58,0.312,0.454,0.766
WSN,2010,655,5418,1355,0.25,149,503,1220,110,0.318,0.39,0.708
ARI,2009,720,5565,1408,0.253,173,571,1298,102,0.324,0.418,0.742
ATL,2009,735,5539,1459,0.263,149,602,1064,58,0.339,0.405,0.744
BAL,2009,741,5618,1508,0.268,160,517,1013,76,0.332,0.415,0.747
BOS,2009,872,5543,1495,0.27,212,659,1120,126,0.352,0.454,0.806
CHC,2009,707,5486,1398,0.255,161,592,1185,56,0.332,0.407,0.738
CHW,2009,724,5463,1410,0.258,184,534,1022,113,0.329,0.411,0.74
CIN,2009,673,5462,1349,0.247,158,531,1129,96,0.318,0.394,0.712
CLE,2009,773,5568,1468,0.264,161,582,1211,84,0.339,0.417,0.756
COL,2009,804,5398,1408,0.261,190,660,1277,106,0.343,0.441,0.784
DET,2009,743,5540,1443,0.26,183,540,1114,72,0.331,0.416,0.747
FLA,2009,772,5572,1493,0.268,159,568,1226,75,0.34,0.416,0.756
HOU,2009,643,5436,1415,0.26,142,448,990,113,0.319,0.4,0.719
KCR,2009,686,5532,1432,0.259,144,457,1091,88,0.318,0.405,0.724
LAA,2009,883,5622,1604,0.285,173,547,1054,148,0.35,0.441,0.792
LAD,2009,780,5592,1511,0.27,145,607,1068,116,0.346,0.412,0.758
MIL,2009,785,5510,1447,0.263,182,610,1231,68,0.341,0.426,0.767
MIN,2009,817,5608,1539,0.274,172,585,1021,85,0.345,0.429,0.774
NYM,2009,671,5453,1472,0.27,95,526,928,122,0.335,0.394,0.729
NYY,2009,915,5660,1604,0.283,244,663,1014,111,0.362,0.478,0.839
OAK,2009,759,5584,1464,0.262,135,527,1046,133,0.328,0.397,0.726
PHI,2009,820,5578,1439,0.258,224,589,1155,119,0.334,0.447,0.781
PIT,2009,636,5417,1364,0.252,125,499,1142,90,0.318,0.387,0.705
SDP,2009,638,5425,1315,0.242,141,586,1182,82,0.321,0.381,0.701
SEA,2009,640,5543,1430,0.258,160,421,1093,89,0.314,0.402,0.716
SFG,2009,657,5493,1411,0.257,122,392,1158,78,0.309,0.389,0.699
STL,2009,730,5465,1436,0.263,160,528,1041,75,0.332,0.415,0.747
