winter,inches
1929-1930,28
1930-1931,74.2
1931-1932,10.3
1932-1933,16.3
1933-1934,26
1934-1935,15.8
1935-1936,66.8
1936-1937,24.7
1937-1938,22.4
1938-1939,24.7
1939-1940,50.8
1940-1941,20.4
1941-1942,30
1942-1943,25
1943-1944,22
1944-1945,14.1
1945-1946,32.9
1946-1947,22
1947-1948,21
1948-1949,7
1949-1950,4.5
1950-1951,35.4
1951-1952,25.2
1952-1953,23.3
1953-1954,7.9
1954-1955,42.6
1955-1956,28.5
1956-1957,10.7
1957-1958,57.8
1958-1959,14
1959-1960,104.3
1960-1961,32.3
1961-1962,54
1962-1963,35
1963-1964,77
1964-1965,35
1965-1966,53.8
1966-1967,41
1967-1968,40
1968-1969,84.5
1969-1970,43.3
1970-1971,52.5
1971-1972,50.5
1972-1973,18.6
1973-1974,28.5
1974-1975,41
1975-1976,19
1976-1977,47.5
1977-1978,55.4
1978-1979,52
1979-1980,36
1980-1981,45.6
1981-1982,53.5
1982-1983,63.5
1983-1984,43
1984-1985,40
1985-1986,39
1986-1987,78.5
1987-1988,40
1988-1989,44.5
1989-1990,27.5
1990-1991,12.5
1991-1992,23.5
1992-1993,72
1993-1994,36
1994-1995,24.5
1995-1996,77
1996-1997,23.3
1997-1998,32.6
1998-1999,28.3
1999-2000,15.8
2000-2001,32.8
2001-2002,3.6
2002-2003,19.6
2003-2004,39.5
2004-2005,25.9
2005-2006,17.7
2006-2007,15.2
2007-2008,10.3
2008-2009,23.5
2009-2010,60.1
2010-2011,48
2011-2012,13.7
2012-2013,36.1
2013-2014,37.8
2014-2015,27.7
2015-2016,25.1
2016-2017,16.6
2017-2018,37.2
2018-2019,31.5
2019-2020,9.1
2020-2021,25.8
2021-2022, 21.7
