year,decade,total
1968,1960s,517
1969,1960s,575
1970,1970s,631
1971,1970s,642
1972,1970s,334
1973,1970s,134
1974,1970s,244
1975,1970s,488
1976,1970s,420
1977,1970s,423
1978,1970s,482
1979,1970s,539
1980,1980s,691
1981,1980s,856
1982,1980s,1050
1983,1980s,1209
1984,1980s,1405
1985,1980s,1591
1986,1980s,1781
1987,1980s,1984
1988,1980s,2124
1989,1980s,2250
1990,1990s,2356
1991,1990s,2482
1992,1990s,2575
1993,1990s,2716
1994,1990s,2890
1995,1990s,3054
1996,1990s,3219
1997,1990s,3335
1998,1990s,3452
1999,1990s,3527
2000,2000s,3593
2001,2000s,3581
2002,2000s,3557
2003,2000s,3374
2004,2000s,3315
2005,2000s,3254
2006,2000s,3228
2007,2000s,3215
2008,2000s,3207
2009,2000s,3173
2010,2010s,3158
2011,2010s,3082
2012,2010s,3033
2013,2010s,2979
2014,2010s,2942
2015,2010s,2881
2016,2010s,2814
2017,2010s,2768
2018,2010s,2690
2019,2010s,2620
2020,2020s,2528
2021,2020s,2436
