State,Votes1980,Votes1990,Votes2000,Votes2010,House1980,House1990,House2000,House2010,Pop1980,Pop1990,Pop2000,Pop2010,Election2000
Alabama,9,9,9,9,7,7,7,7,3.894,4.04,4.447,4.7797,Bush
Alaska,3,3,3,3,1,1,1,1,0.402,0.55,0.627,0.7102,Bush
Arizona,7,8,10,11,5,6,8,9,2.718,3.665,5.13,6.392,Bush
Arkansas,6,6,6,6,4,4,4,4,2.286,2.351,2.673,2.9159,Bush
California,47,54,55,55,45,52,53,53,23.668,29.811,33.872,37.254,Gore
Colorado,8,8,9,9,6,6,7,7,2.89,3.294,4.301,5.0292,Bush
Connecticut,8,8,7,7,6,6,5,5,3.108,3.287,3.406,3.5741,Gore
Delaware,3,3,3,3,1,1,1,1,0.594,0.666,0.784,0.8979,Gore
Florida,21,25,27,29,19,23,25,27,9.746,12.938,15.982,18.8013,Bush
Georgia,12,13,15,16,10,11,13,14,5.463,6.478,8.186,9.6877,Bush
Hawaii,4,4,4,4,2,2,2,2,0.965,1.108,1.212,1.3603,Gore
Idaho,4,4,4,4,2,2,2,2,0.944,1.007,1.294,1.5676,Bush
Illinois,24,22,21,20,22,20,19,18,11.427,11.431,12.419,12.8306,Gore
Indiana,12,12,11,11,10,10,9,9,5.49,5.544,6.08,6.4838,Bush
Iowa,8,7,7,6,6,5,5,4,2.914,2.777,2.926,3.0464,Gore
Kansas,7,6,6,6,5,4,4,4,2.364,2.478,2.688,2.8531,Bush
Kentucky,9,8,8,8,7,6,6,6,3.661,3.687,4.042,4.3394,Bush
Louisiana,10,9,9,8,8,7,7,6,4.206,4.222,4.469,4.5334,Bush
Maine,4,4,4,4,2,2,2,2,1.125,1.228,1.275,1.3284,Gore
Maryland,10,10,10,10,8,8,8,8,4.217,4.781,5.296,5.7736,Gore
Massachusetts,13,12,12,11,11,10,10,9,5.737,6.016,6.349,6.5476,Gore
Michigan,20,18,17,16,18,16,15,14,9.262,9.295,9.938,9.8836,Gore
Minnesota,10,10,10,10,8,8,8,8,4.076,4.376,4.919,5.3039,Gore
Mississippi,7,7,6,6,5,5,4,4,2.521,2.575,2.845,2.9673,Bush
Missouri,11,11,11,10,9,9,9,8,4.917,5.117,5.595,5.9889,Bush
Montana,4,3,3,3,2,1,1,1,0.787,0.799,0.902,0.9894,Bush
Nebraska,5,5,5,5,3,3,3,3,1.57,1.578,1.711,1.8263,Bush
Nevada,4,4,5,6,2,2,3,4,0.8,1.202,1.998,2.7006,Bush
New Hampshire,4,4,4,4,2,2,2,2,0.921,1.109,1.236,1.3165,Bush
New Jersey,16,15,15,14,14,13,13,12,7.365,7.748,8.414,8.7919,Gore
New Mexico,5,5,5,5,3,3,3,3,1.303,1.515,1.819,2.0592,Gore
New York,36,33,31,29,34,31,29,27,19.2322,17.991,18.976,19.3781,Gore
North Carolina,13,14,15,15,11,12,13,13,5.882,6.632,8.049,9.5355,Bush
North Dakota,3,3,3,3,1,1,1,1,0.653,0.639,0.642,0.6726,Bush
Ohio,23,21,20,18,21,19,18,16,10.798,10.847,11.353,11.5365,Bush
Oklahoma,8,8,7,7,6,6,5,5,3.025,3.146,3.451,3.7514,Bush
Oregon,7,7,7,7,5,5,5,5,2.633,2.842,3.421,3.8311,Gore
Pennsylvania,25,23,21,20,23,21,19,18,11.864,11.883,12.281,12.7024,Gore
Rhode Island,4,4,4,4,2,2,2,2,0.947,1.003,1.048,1.0526,Gore
South Carolina,8,8,8,9,6,6,6,7,3.122,3.486,4.012,4.6254,Bush
South Dakota,3,3,3,3,1,1,1,1,0.691,0.696,0.755,0.8142,Bush
Tennessee,11,11,11,11,9,9,9,9,4.591,4.877,5.689,6.3461,Bush
Texas,29,32,34,38,27,30,32,36,14.229,16.986,20.852,25.1456,Bush
Utah,5,5,5,6,3,3,3,4,1.461,1.723,2.233,2.7639,Bush
Vermont,3,3,3,3,1,1,1,1,0.511,0.563,0.609,0.6257,Gore
Virginia,12,13,13,13,10,11,11,11,5.347,6.189,7.079,8.001,Bush
Washington,10,11,11,12,8,9,9,10,4.132,4.867,5.894,6.7245,Gore
West Virginia,6,5,5,5,4,3,3,3,1.95,1.793,1.808,1.853,Bush
Wisconsin,11,11,10,10,9,9,8,8,4.706,4.892,5.364,5.687,Gore
Wyoming,3,3,3,3,1,1,1,1,0.47,0.454,0.494,0.5636,Bush
District of Columbia,3,3,3,3,1,1,1,1,0.638,0.607,0.572,0.6017,Gore
