state,region,division,court,dp,abolished,pre1976,post1976,prisoners,women,freed,clemency
Alabama,South,East Southern Central,Eleventh,yes,,708,61,193,5,6,1
Alaska,West,Pacific,Ninth,no,1957,12,0,,,0,0
Arizona,West,Mountain,Ninth,yes,,104,37,124,2,8,0
Arkansas,South,West Southern Central,Eighth,yes,,478,31,36,0,1,1
California,West,Pacific,Ninth,yes,,709,13,744,21,3,0
Colorado,West,Mountain,Tenth,yes,,101,1,3,0,0,0
Connecticut,Northeast,New England,Second,no,2015,126,1,,,0,0
Delaware,South,South Atlantic,Third,in flux,,62,16,0,0,1,1
District of Columbia,South,South Atlantic,DC,no,1981,118,0,,,0,0
Florida,South,South Atlantic,Eleventh,yes,,314,94,386,4,26,6
Georgia,South,South Atlantic,Eleventh,yes,,950,70,62,0,6,8
Hawaii,West,Pacific,Ninth,no,1948,49,0,,,0,0
Idaho,West,Mountain,Ninth,yes,,26,3,8,1,1,1
Illinois,Midwest,East North Central,Seventh,no,2011,348,12,,,20,187
Indiana,Midwest,East North Central,Seventh,yes,,131,20,12,1,2,3
Iowa,Midwest,West North Central,Eighth,no,1965,45,0,,,0,0
Kansas,Midwest,West North Central,Tenth,yes,,57,0,10,0,0,0
Kentucky,South,East Southern Central,Sixth,yes,,424,3,33,1,1,2
Louisiana,South,West Southern Central,Fifth,yes,,632,28,75,1,11,2
Maine,Northeast,New England,First,no,1887,21,0,,,0,0
Maryland,South,South Atlantic,Fourth,no,2013,309,5,,,1,6
Massachusetts,Northeast,New England,First,no,1984,345,0,,,3,0
Michigan,Midwest,East North Central,Sixth,no,1946,13,0,,,0,0
Minnesota,Midwest,West North Central,Eighth,no,1911,66,0,,,0,0
Mississippi,South,East Southern Central,Fifth,yes,,351,21,49,1,4,0
Missouri,Midwest,West North Central,Eighth,yes,,285,87,25,0,4,3
Montana,West,Mountain,Ninth,yes,,71,3,2,0,0,1
Nebraska,Midwest,West North Central,Eighth,yes,,34,3,10,0,1,0
Nevada,West,Mountain,Ninth,yes,,61,12,81,0,1,1
New Hampshire,Northeast,New England,First,yes,,24,0,1,0,0,0
New Jersey,Northeast,Mid-Atlantic,Third,no,2007,361,0,,,0,8
New Mexico,West,Mountain,Tenth,no,2009,73,1,2,,4,5
New York,Northeast,Mid-Atlantic,Second,no,2007,1130,0,,,0,0
North Carolina,South,South Atlantic,Fourth,yes,,784,43,154,3,9,5
North Dakota,Midwest,West North Central,Eighth,no,1973,8,0,,,0,0
Ohio,Midwest,East North Central,Sixth,yes,,438,55,143,1,9,18
Oklahoma,South,West Southern Central,Tenth,yes,,132,112,47,1,10,4
Oregon,West,Pacific,Ninth,yes,,122,2,33,1,0,0
Pennsylvania,Northeast,Mid-Atlantic,Third,yes,,1040,3,169,2,6,0
Rhode Island,Northeast,New England,First,no,1984,52,0,,,0,0
South Carolina,South,South Atlantic,Fourth,yes,,641,43,42,0,2,0
South Dakota,Midwest,West North Central,Eighth,yes,,15,3,3,0,0,0
Tennessee,South,East Southern Central,Sixth,yes,,335,6,62,1,3,3
Texas,South,West Southern Central,Fifth,yes,,755,544,248,6,13,2
Utah,West,Mountain,Tenth,yes,,43,7,9,0,0,0
Vermont,Northeast,New England,Second,no,1964,26,0,,,0,0
Virginia,South,South Atlantic,Fourth,yes,,1277,113,6,0,1,9
Washington,West,Pacific,Ninth,yes,,105,5,8,0,1,0
West Virginia,South,South Atlantic,Fourth,no,1965,155,0,,,0,0
Wisconsin,Midwest,East North Central,Seventh,no,1853,1,0,,,0,0
Wyoming,West,Mountain,Tenth,yes,,22,1,1,0,0,0
