state,y2021,y2020,y2019,y2018,y2017,y2016,y2015,y2014,y2013,y2012,y2011,y2010,y2009,y2008,y2007,y2006,y2005,y2004,y2003,y2002,y2001,y2000,y1999,y1998,y1997,y1996,y1995,y1994,y1993,y1992,y1991,y1990,y1989,y1988,y1987,y1986,y1985,y1984,y1983,y1982,y1981,y1979,y1977,y1976
Alabama,1,1,3,2,3,2,0,0,1,0,6,5,6,0,3,1,4,2,3,2,0,4,2,1,3,1,2,0,0,2,0,1,4,0,1,1,0,0,1,0,0,0,0,0
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,0,0,0,0,0,0,0,1,2,6,4,1,0,0,1,0,0,0,0,0,0,3,7,4,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,4,1,4,1,2,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,2,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,0,0,2,2,3,1,2,8,7,3,2,1,2,2,0,4,1,2,3,3,1,6,1,4,1,2,3,1,3,2,2,4,2,2,1,3,3,8,1,0,0,1,0,0
Georgia,0,1,3,2,1,9,5,2,1,0,4,2,3,3,1,0,3,2,3,4,4,0,0,1,0,2,2,1,2,0,1,0,1,1,5,1,3,2,1,0,0,0,0,0
