restaurant,item,type,calories,servingsize,totalfat,saturatedfat,transfat,sodium,carbs,sugars,protein
McDonald's,Hamburger,Burger,240,98,8,3,0,480,32,6,12
McDonald's,Cheeseburger,Burger,290,113,11,5,0.5,680,33,7,15
McDonald's,Big Mac,Burger,530,211,27,10,1,960,47,9,24
McDonald's,Quarter Pounder with Cheese,Burger,520,202,26,12,1.5,1100,41,10,30
McDonald's,Bacon Clubhouse Burger,Burger,720,270,40,15,1.5,1470,51,14,39
McDonald's,Double Quarter Pounder with Cheese,Burger,750,283,43,19,2.5,1280,42,10,48
McDonald's,Chocolate Shake (12oz),Milkshake,530,257,15,10,1,160,86,63,11
McDonald's,Premium Crispy Chicken Classic Sandwich,Breaded Chicken Sandwich,510,213,22,3.5,0,990,55,10,24
McDonald's,Premium Grilled Chicken Classic Sandwich,Grilled Chicken Sandwich,350,200,9,2,0,820,42,8,28
McDonald's,Chicken McNuggets (4 piece),Chicken Nuggets,190,65,12,2,0,360,12,0,9
McDonald's,Small French Fries,French Fries,230,75,11,1.5,0,130,30,0,2
Burger King,Hamburger,Burger,220,93,8,3,0.5,380,26,6,11
Burger King,Cheeseburger,Burger,270,104,12,5,0.5,560,27,7,13
Burger King,WHOPPER Sandwich,Burger,630,260,38,11,1.5,810,49,11,26
Burger King,Bacon & Cheese WHOPPER Sandwich,Burger,750,279,49,16,2,1260,46,8,33
Burger King,DOUBLE WHOPPER Sandwich,Burger,850,341,54,18,2.5,870,49,11,43
Burger King,Double Bacon King,Burger,1040,327,69,28,2.5,1900,48,10,57
Burger King,Chocolate Milk Shake,Milkshake,610,343,16,10,0,500,103,88,14
Burger King,TENDERCRISP Chicken Sandwich,Breaded Chicken Sandwich,660,248,40,7,0,1220,49,7,26
Burger King,TENDERGRILL Chicken Sandwich,Grilled Chicken Sandwich,420,217,18,3,0,700,35,6,32
Burger King,Chicken Nuggets- 4pc,Chicken Nuggets,170,58,11,1.5,0,310,11,0,8
Burger King,French Fries - small (Salted),French Fries,320,128,14,2.5,0,480,44,0,4
Wendy's,Jr. Hamburger,Burger,250,102,10,4,1,600,25,5,14
Wendy's,Jr. Cheeseburger,Burger,290,113,13,6,1,800,26,6,16
Wendy's,Dave's Single Cheeseburger,Burger,580,247,31,13,2,1220,42,10,30
Wendy's,1/2 lb. Double w/ Cheese,Burger,820,329,47,20,3,1510,42,10,48
Wendy's,3/4 lb. Triple w/ Cheese,Burger,1090,423,66,29,4,1990,43,11,69
Wendy's,Baconator,Burger,940,295,56,23,3,1890,41,9,57
Wendy's,Son of Baconator,Burger,670,211,37,15,2,1670,41,9,38
Wendy's,"Chocolate Frosty Shake, Small",Milkshake,580,342,13,8,1,250,104,93,11
Wendy's,Homestyle Chicken Sandwich,Breaded Chicken Sandwich,510,247,20,4,0,1200,54,8,29
Wendy's,Ultimate Chicken Grill Sandwich,Grilled Chicken Sandwich,370,231,7,2,0,880,43,9,34
