Price,Fireplace
142212,No
134865,Yes
118007,Yes
138297,Yes
129470,Yes
206512,No
50709,No
108794,No
68353,No
123266,No
309808,Yes
157946,Yes
80248,No
135708,No
173723,Yes
140510,Yes
122221,No
151917,Yes
235105000,Yes
259999,Yes
211517,Yes
102068,Yes
128440,No
115659,Yes
145583,Yes
116289,Yes
238792,Yes
221925,No
310696,Yes
139079,Yes
109578,Yes
65325,No
89893,Yes
87588,No
132311,Yes
131411,Yes
158863,Yes
130490,Yes
88207,No
178767,Yes
148246,No
205073,No
185323,No
71904,No
82556,Yes
199684,No
122221,Yes
81762,No
84291,Yes
206512,Yes
105363,Yes
45004,No
62105,No
103508,Yes
157513,Yes
79893,No
88770,No
115312,No
118952,No
103861,Yes
