FamilyID,Father,Mother
1,78.5,67
2,75.5,66.5
3,75,64
4,75,64
5,75,58.5
6,74,68
7,74,68
8,74,66.5
9,74.5,66
10,74,65.5
11,74,62
12,74,61
13,73,67
14,73,67
15,73,66.5
16,73,65
17,73,64.5
18,73,64
19,73.2,63
20,72.7,69
21,72,68
22,72,67
23,72,65
24,72,65.5
25,72,64
26,72,63
27,72,63
28,72,63
29,72.5,63.5
30,72,62
31,72.5,62
32,72,62
33,72,62
34,72,61
35,71,69
36,71,67
37,71,66
38,71,66
39,71,66
40,71,66
41,71.7,65.5
42,71,65.5
43,71.5,65.5
44,71.5,65
45,71,65
46,71,64
47,71.7,64.5
48,71,64
49,71.5,64.5
50,71,65.4
51,71.2,63
52,71,63.5
53,71,63
54,71,63
55,71,62
56,71,62
57,71,62.5
58,71,62
59,71,61
60,71,58
61,70,69
62,70,69
63,70,68
64,70,67
65,70,67
66,70,66.5
67,70.5,65
68,70.5,65
69,70,65
70,70,65
71,70,65
72,70,65
73,70,65
74,70,65
75,70,64.7
76,70,64
77,70,64
78,70,64.2
79,70.5,64
80,70.5,64.5
81,70,64
82,70,64
83,70,63.7
84,70.5,63
85,70.5,63
86,70,63.5
87,70,63
88,70,63
89,70.5,62
90,70.3,62.7
91,70.5,62
92,70,61
93,70,60
94,70,60
95,70,58.5
96,70,58
97,69,68.5
98,69,67
99,69,66
100,69,66
101,69,66.7
102,69,66
103,69,66.5
104,69.5,66.5
105,69,66.5
106,69.5,66
107,69,66
108,69,65
109,69.5,64.5
110,69.2,64
111,69,63.5
112,69,63
113,69,63
114,69,63
115,69,63.5
116,69,63.5
117,69.7,62
118,69.5,62
119,69,62
120,69.5,62
121,69,62.5
122,69,62
123,69.5,61
124,69,61
125,69,60
126,69,60
127,69,60.5
128,68.7,70.5
129,68.5,67
130,68.5,66.5
131,68,65
132,68,65.5
133,68,65.5
134,68,65
135,68.5,65
136,68,64
137,68,64
138,68,64
139,68,64.5
140,68,64
141,68,63
142,68.5,63.5
143,68,63
144,68,63
145,68,63
146,68,63
147,68.5,63.5
148,68,63
149,68.2,63.5
150,68,62.5
151,68.7,62
152,68,62.5
153,68,61
154,68,60.2
155,68,60
156,68,60
157,68.5,59
158,68,59
159,67,66.2
160,67,66.5
161,67,66
162,67,65
163,67,65.5
164,67,65.5
165,67,65
166,67.5,65
167,67,64
168,67,63.5
169,67,63
170,67.5,62
171,67,61
172,66,67
173,66,67
174,66,66
175,66,66
176,66.5,65
177,66,65.5
178,66,63
179,66,63.5
180,66.5,63
181,66.5,62.5
182,66,61.5
183,66,60
184,66,60
185,66,59
186,65,67
187,65,67
188,65,66
189,65,66
190,65,65
191,65,65.5
192,65,65
193,65,64
194,65,63
195,65,63
196,65.5,63
197,65.5,60
198,64,64
199,64,64
200,64,63
201,64,60
202,63,63.5
203,62,66
204,62.5,63
205,68.5,65
