group,home
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,yes
control,no
control,no
control,no
control,no
control,no
control,no
control,no
control,no
control,no
control,no
control,no
control,no
control,no
control,no
control,no
control,no
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,yes
magnet,no
magnet,no
magnet,no
magnet,no
magnet,no
magnet,no
magnet,no
magnet,no
magnet,no
magnet,no
magnet,no
magnet,no
magnet,no
magnet,no
magnet,no
magnet,no
magnet,no
magnet,no
