id,decade,year,month,date,co2raw,co2adj,days
1,1950s,1958,Mar,1958.208,315.71,314.61,
2,1950s,1958,Apr,1958.292,317.45,315.29,
3,1950s,1958,May,1958.375,317.5,314.71,
4,1950s,1958,Jun,1958.458,,314.85,
5,1950s,1958,Jul,1958.542,315.86,314.98,
6,1950s,1958,Aug,1958.625,314.93,315.94,
7,1950s,1958,Sep,1958.708,313.2,315.91,
8,1950s,1958,Oct,1958.792,,315.61,
9,1950s,1958,Nov,1958.875,313.33,315.31,
10,1950s,1958,Dec,1958.958,314.67,315.62,
11,1950s,1959,Jan,1959.042,315.62,315.7,
12,1950s,1959,Feb,1959.125,316.38,315.88,
13,1950s,1959,Mar,1959.208,316.71,315.61,
14,1950s,1959,Apr,1959.292,317.72,315.56,
15,1950s,1959,May,1959.375,318.29,315.5,
16,1950s,1959,Jun,1959.458,318.16,315.92,
17,1950s,1959,Jul,1959.542,316.55,315.66,
18,1950s,1959,Aug,1959.625,314.8,315.81,
19,1950s,1959,Sep,1959.708,313.84,316.55,
20,1950s,1959,Oct,1959.792,313.26,316.19,
21,1950s,1959,Nov,1959.875,314.8,316.78,
22,1950s,1959,Dec,1959.958,315.59,316.52,
23,1960s,1960,Jan,1960.042,316.43,316.51,
24,1960s,1960,Feb,1960.125,316.97,316.47,
25,1960s,1960,Mar,1960.208,317.58,316.48,
26,1960s,1960,Apr,1960.292,319.02,316.86,
27,1960s,1960,May,1960.375,320.02,317.24,
28,1960s,1960,Jun,1960.458,319.59,317.36,
29,1960s,1960,Jul,1960.542,318.18,317.3,
30,1960s,1960,Aug,1960.625,315.91,316.92,
31,1960s,1960,Sep,1960.708,314.16,316.87,
32,1960s,1960,Oct,1960.792,313.83,316.76,
33,1960s,1960,Nov,1960.875,315,316.98,
34,1960s,1960,Dec,1960.958,316.19,317.13,
35,1960s,1961,Jan,1961.042,316.93,317.04,
36,1960s,1961,Feb,1961.125,317.7,317.28,
37,1960s,1961,Mar,1961.208,318.54,317.47,
38,1960s,1961,Apr,1961.292,319.48,317.27,
39,1960s,1961,May,1961.375,320.58,317.7,
40,1960s,1961,Jun,1961.458,319.77,317.48,
41,1960s,1961,Jul,1961.542,318.58,317.7,
42,1960s,1961,Aug,1961.625,316.79,317.8,
43,1960s,1961,Sep,1961.708,314.8,317.49,
44,1960s,1961,Oct,1961.792,315.38,318.35,
45,1960s,1961,Nov,1961.875,316.1,318.13,
46,1960s,1961,Dec,1961.958,317.01,317.94,
47,1960s,1962,Jan,1962.042,317.94,318.06,
48,1960s,1962,Feb,1962.125,318.55,318.11,
49,1960s,1962,Mar,1962.208,319.68,318.57,
50,1960s,1962,Apr,1962.292,320.63,318.45,
51,1960s,1962,May,1962.375,321.01,318.2,
52,1960s,1962,Jun,1962.458,320.55,318.27,
53,1960s,1962,Jul,1962.542,319.58,318.67,
54,1960s,1962,Aug,1962.625,317.4,318.48,
55,1960s,1962,Sep,1962.708,316.26,319.03,
56,1960s,1962,Oct,1962.792,315.42,318.33,
57,1960s,1962,Nov,1962.875,316.69,318.62,
58,1960s,1962,Dec,1962.958,317.7,318.61,
59,1960s,1963,Jan,1963.042,318.74,318.91,
60,1960s,1963,Feb,1963.125,319.08,318.68,
61,1960s,1963,Mar,1963.208,319.86,318.69,
62,1960s,1963,Apr,1963.292,321.39,319.09,
63,1960s,1963,May,1963.375,322.24,319.39,
64,1960s,1963,Jun,1963.458,321.47,319.16,
65,1960s,1963,Jul,1963.542,319.74,318.76,
66,1960s,1963,Aug,1963.625,317.77,318.83,
67,1960s,1963,Sep,1963.708,316.21,319.06,
68,1960s,1963,Oct,1963.792,315.99,319,
69,1960s,1963,Nov,1963.875,317.12,319.1,
70,1960s,1963,Dec,1963.958,318.31,319.25,
71,1960s,1964,Jan,1964.042,319.57,319.67,
72,1960s,1964,Feb,1964.125,,319.61,
73,1960s,1964,Mar,1964.208,,319.55,
74,1960s,1964,Apr,1964.292,,319.48,
75,1960s,1964,May,1964.375,322.24,319.42,
76,1960s,1964,Jun,1964.458,321.89,319.69,
77,1960s,1964,Jul,1964.542,320.44,319.58,
78,1960s,1964,Aug,1964.625,318.7,319.81,
79,1960s,1964,Sep,1964.708,316.7,319.56,
80,1960s,1964,Oct,1964.792,316.79,319.79,
81,1960s,1964,Nov,1964.875,317.79,319.72,
82,1960s,1964,Dec,1964.958,318.71,319.59,
83,1960s,1965,Jan,1965.042,319.44,319.48,
84,1960s,1965,Feb,1965.125,320.44,319.97,
85,1960s,1965,Mar,1965.208,320.89,319.65,
86,1960s,1965,Apr,1965.292,322.13,319.8,
87,1960s,1965,May,1965.375,322.16,319.36,
88,1960s,1965,Jun,1965.458,321.87,319.65,
89,1960s,1965,Jul,1965.542,321.39,320.51,
90,1960s,1965,Aug,1965.625,318.8,319.93,
91,1960s,1965,Sep,1965.708,317.81,320.68,
92,1960s,1965,Oct,1965.792,317.3,320.36,
93,1960s,1965,Nov,1965.875,318.87,320.87,
94,1960s,1965,Dec,1965.958,319.42,320.26,
95,1960s,1966,Jan,1966.042,320.62,320.62,
96,1960s,1966,Feb,1966.125,321.59,321.1,
97,1960s,1966,Mar,1966.208,322.39,321.16,
98,1960s,1966,Apr,1966.292,323.87,321.51,
99,1960s,1966,May,1966.375,324.01,321.18,
100,1960s,1966,Jun,1966.458,323.75,321.52,
101,1960s,1966,Jul,1966.542,322.4,321.49,
102,1960s,1966,Aug,1966.625,320.37,321.5,
103,1960s,1966,Sep,1966.708,318.64,321.54,
104,1960s,1966,Oct,1966.792,318.1,321.18,
105,1960s,1966,Nov,1966.875,319.78,321.84,
106,1960s,1966,Dec,1966.958,321.08,321.95,
107,1960s,1967,Jan,1967.042,322.06,322.07,
108,1960s,1967,Feb,1967.125,322.5,321.94,
109,1960s,1967,Mar,1967.208,323.04,321.72,
110,1960s,1967,Apr,1967.292,324.42,322.05,
111,1960s,1967,May,1967.375,325,322.27,
112,1960s,1967,Jun,1967.458,324.09,321.94,
113,1960s,1967,Jul,1967.542,322.55,321.66,
114,1960s,1967,Aug,1967.625,320.92,322.04,
115,1960s,1967,Sep,1967.708,319.31,322.19,
116,1960s,1967,Oct,1967.792,319.31,322.36,
117,1960s,1967,Nov,1967.875,320.72,322.78,
118,1960s,1967,Dec,1967.958,321.96,322.86,
