last,first,salary,league,region,team,position
Anderson,Garret,5000000,AL,West,Anaheim Angels,O
Appier,Kevin,9500000,AL,West,Anaheim Angels,P
Cook,Dennis,1250000,AL,West,Anaheim Angels,P
Davanon,Jeffrey,207500,AL,West,Anaheim Angels,O
Eckstein,David,280000,AL,West,Anaheim Angels,SS
Erstad,Darin,6250000,AL,West,Anaheim Angels,O
Fabregas,Jorge,500000,AL,West,Anaheim Angels,C
Fullmer,Brad,4000000,AL,West,Anaheim Angels,DH
Gil,Benji,400000,AL,West,Anaheim Angels,SS
Glaus,Troy,4000000,AL,West,Anaheim Angels,B3
Green,Steve,200000,AL,West,Anaheim Angels,P
Kennedy,Adam,375000,AL,West,Anaheim Angels,B2
Levine,Alan,1325000,AL,West,Anaheim Angels,P
Lukasiewicz,Mark,207500,AL,West,Anaheim Angels,P
Molina,Benji,350000,AL,West,Anaheim Angels,C
Nieves,Jose,240000,AL,West,Anaheim Angels,SS
Ortiz,Ramon,575000,AL,West,Anaheim Angels,P
Palmeiro,Orlando,1000000,AL,West,Anaheim Angels,O
Percival,Troy,5250000,AL,West,Anaheim Angels,P
Pote,Lou,255000,AL,West,Anaheim Angels,P
Salmon,Tim,9650000,AL,West,Anaheim Angels,O
Schoeneweis,Scott,325000,AL,West,Anaheim Angels,P
Sele,Aaron,7166667,AL,West,Anaheim Angels,P
Spiezio,Scott,2275000,AL,West,Anaheim Angels,B1
Wall,Donne,300000,AL,West,Anaheim Angels,P
Washburn,Jarrod,350000,AL,West,Anaheim Angels,P
Weber,Ben,240000,AL,West,Anaheim Angels,P
Wooten,Shawn,250000,AL,West,Anaheim Angels,C
Anderson,Brian,5375000,NL,West,Arizona Diamondbacks,P
Barajas,Rod,215000,NL,West,Arizona Diamondbacks,C
Batista,Miguel,2125000,NL,West,Arizona Diamondbacks,P
Bautista,Danny,2000000,NL,West,Arizona Diamondbacks,O
Bell,Jay,8000000,NL,West,Arizona Diamondbacks,B3
Colbrunn,Greg,1800000,NL,West,Arizona Diamondbacks,B1
Counsell,Craig,1516667,NL,West,Arizona Diamondbacks,B3
Dellucci,David,775000,NL,West,Arizona Diamondbacks,O
Donnels,Chris,350000,NL,West,Arizona Diamondbacks,B3
Durazo,Erubiel,375000,NL,West,Arizona Diamondbacks,B1
Finley,Steve,5375000,NL,West,Arizona Diamondbacks,O
Gonzalez,Luis,4333333,NL,West,Arizona Diamondbacks,O
Grace,Mark,3000000,NL,West,Arizona Diamondbacks,B1
Guillen,Jose,500000,NL,West,Arizona Diamondbacks,O
Helling,Rick,3000000,NL,West,Arizona Diamondbacks,P
Johnson,Randy,13350000,NL,West,Arizona Diamondbacks,P
Kim,Byung-Hyun,762500,NL,West,Arizona Diamondbacks,P
Klassen,Danny,227500,NL,West,Arizona Diamondbacks,B3
Mantel,Matt,4333333,NL,West,Arizona Diamondbacks,P
McCracken,Quinton,500000,NL,West,Arizona Diamondbacks,O
Meoller,Chad,215000,NL,West,Arizona Diamondbacks,C
Meyers,Mike,1533333,NL,West,Arizona Diamondbacks,P
Miller,Damian,2650000,NL,West,Arizona Diamondbacks,C
Morgan,Mike,750000,NL,West,Arizona Diamondbacks,P
Oropesa,Edilberto,350000,NL,West,Arizona Diamondbacks,P
Prinz,Bret,235000,NL,West,Arizona Diamondbacks,P
Reynoso,Armando,4125000,NL,West,Arizona Diamondbacks,P
Schilling,Curt,10000000,NL,West,Arizona Diamondbacks,P
