name,team,position,state,division,salary,age
Alex Rodriguez,New York Yankees,Third baseman,New York,AL East,29000000,36
Cliff Lee,Philadelphia Phillies,Starting pitcher,Pennsylvania,NL East,25000000,33
Johan Santana,New York Mets,Starting pitcher,New York,NL East,24644708,33
Vernon Wells,New York Yankees,Left fielder,New York,AL East,24642857,34
CC Sabathia,New York Yankees,Starting pitcher,New York,AL East,24285714,31
Mark Teixeira,New York Yankees,First baseman,New York,AL East,23125000,32
Prince Fielder,Detroit Tigers,First baseman,Michigan,AL Central,23000000,28
Joe Mauer,Minnesota Twins,Catcher,Minnesota,AL Central,23000000,29
Tim Lincecum,San Francisco Giants,Starting pitcher,California,NL West,22250000,28
Adrian Gonzalez,Los Angeles Dodgers,First baseman,California,NL West,21857143,30
Miguel Cabrera,Detroit Tigers,Third baseman,Michigan,AL Central,21000000,29
Zack Greinke,Los Angeles Dodgers,Starting pitcher,California,NL West,21000000,28
Carl Crawford,Los Angeles Dodgers,Left fielder,California,NL West,20857143,30
Matt Cain,San Francisco Giants,Starting pitcher,California,NL West,20833333,27
Felix Hernandez,Seattle Mariners,Starting pitcher,Washington,AL West,20557143,26
Cole Hamels,Philadelphia Phillies,Starting pitcher,Pennsylvania,NL East,20500000,28
Matt Kemp,Los Angeles Dodgers,Center fielder,California,NL West,20250000,27
Justin Verlander,Detroit Tigers,Starting pitcher,Michigan,AL Central,20100000,29
Roy Halladay,Philadelphia Phillies,Starting pitcher,Pennsylvania,NL East,20000000,35
Ryan Howard,Philadelphia Phillies,First baseman,Pennsylvania,NL East,20000000,32
Barry Zito,San Francisco Giants,Starting pitcher,California,NL West,20000000,34
Alfonso Soriano,Chicago Cubs,Left fielder,Illinois,NL Central,19000000,36
Joey Votto,Cincinnati Reds,First baseman,Ohio,NL Central,18910655,28
Michael Young,Philadelphia Phillies,Third baseman,Pennsylvania,NL East,18374975,35
Josh Hamilton,Los Angeles Angels,Right fielder,California,AL West,17400000,31
Josh Beckett,Los Angeles Dodgers,Starting pitcher,California,NL West,17000000,32
Derek Jeter,New York Yankees,Shortstop,New York,AL East,16729365,38
Jayson Werth,Washington Nationals,Right fielder,"Washington, D.C.",NL East,16571429,33
A.J. Burnett,Pittsburgh Pirates,Starting pitcher,Pennsylvania,NL Central,16500000,35
Bronson Arroyo,Cincinnati Reds,Starting pitcher,Ohio,NL Central,16445535,35
Matt Holliday,St. Louis Cardinals,Left fielder,Missouri,NL Central,16272110,32
Jered Weaver,Los Angeles Angels,Starting pitcher,California,AL West,16200000,29
Jake Peavy,Chicago White Sox,Starting pitcher,Illinois,AL Central,16157271,31
Albert Pujols,Los Angeles Angels,First baseman,California,AL West,16000000,32
Adrian Beltre,Texas Rangers,Third baseman,Texas,AL West,16000000,33
John Lackey,Boston Red Sox,Starting pitcher,Massachusetts,AL East,15950000,34
John Danks,Chicago White Sox,Starting pitcher,Illinois,AL Central,15750000,27
Hanley Ramirez,Los Angeles Dodgers,Shortstop,California,NL West,15500000,28
Nick Markakis,Baltimore Orioles,Right fielder,Maryland,AL East,15350000,28
Chase Utley,Philadelphia Phillies,Second baseman,Pennsylvania,NL East,15285714,33
Adam Dunn,Chicago White Sox,Designated hitter,Illinois,AL Central,15000000,32
Justin Morneau,Minnesota Twins,First baseman,Minnesota,AL Central,15000000,31
Robinson Cano,New York Yankees,Second baseman,New York,AL East,15000000,29
Curtis Granderson,New York Yankees,Center fielder,New York,AL East,15000000,31
