NAME,TEAM,POS,SALARY
Max Scherzer,WSH,SP,42142857
Stephen Strasburg,WSH,SP,36428571
Mike Trout,LAA,CF,34083333
Zack Greinke,ARI,SP,32421884
David Price,BOS,SP,31000000
Clayton Kershaw,LAD,SP,31000000
Miguel Cabrera,DET,DH,30000000
Yoenis Cespedes,NYM,OF,29000000
Justin Verlander,HOU,SP,28000000
Albert Pujols,LAA,DH,28000000
Felix Hernandez,SEA,SP,27857143
Jon Lester,CHC,SP,27500000
Nolan Arenado,COL,3B,26000000
Giancarlo Stanton,NYY,RF,26000000
Jake Arrieta,PHI,SP,25000000
Joey Votto,CIN,1B,25000000
Jordan Zimmermann,DET,SP,25000000
Robinson Cano,NYM,2B,24000000
J.D. Martinez,BOS,OF,23750000
Edwin Encarnacion,SEA,1B,23333333
Josh Donaldson,ATL,3B,23000000
Johnny Cueto,SF,SP,22666666
Buster Posey,SF,C,22511111
Masahiro Tanaka,NYY,SP,22000000
Jacoby Ellsbury,NYY,OF,21857142
Eric Hosmer,SD,1B,21625000
Charlie Blackmon,COL,CF,21516666
Matt Kemp,CIN,OF,21500000
Freddie Freeman,ATL,1B,21359375
Rick Porcello,BOS,SP,21125000
Chris Davis,BAL,1B,21116517
Alex Gordon,KC,LF,21000000
Shin-Soo Choo,TEX,DH,21000000
Carlos Santana,CLE,1B,20500000
Yu Darvish,CHC,SP,20000000
Cole Hamels,CHC,SP,20000000
Mookie Betts,BOS,RF,20000000
Russell Martin,LAD,C,20000000
Yadier Molina,STL,C,20000000
Jason Heyward,CHC,RF,20000000
Jeff Samardzija,SF,SP,19800000
Wei-Yin Chen,MIA,RP,19773520
Justin Upton,LAA,LF,19700000
Kyle Seager,SEA,3B,19500000
Justin Turner,LAD,3B,19000000
Mark Melancon,SF,RP,19000000
Kenley Jansen,LAD,RP,18800000
Anthony Rendon,WSH,3B,18800000
Rich Hill,LAD,SP,18666667
Pablo Sandoval,SF,3B,18600000
Ryan Zimmerman,WSH,1B,18333333
Wade Davis,COL,RP,18333333
Yasmani Grandal,MIL,C,18250000
Ryan Braun,MIL,LF,18158038
Hyun-Jin Ryu,LAD,SP,17900000
Brandon Belt,SF,1B,17200000
Aroldis Chapman,NYY,RP,17200000
Corey Kluber,CLE,SP,17200000
Mike Leake,SEA,SP,17000000
Nathan Eovaldi,BOS,SP,17000000
J.A. Happ,NYY,SP,17000000
Ian Kennedy,KC,SP,16500000
Khris Davis,OAK,DH,16500000
Dexter Fowler,STL,RF,16500000
Michael Brantley,HOU,LF,16000000
Jose Abreu,CWS,1B,16000000
Evan Longoria,SF,3B,15500000
Ian Desmond,COL,CF,15400000
Matt Carpenter,STL,3B,15333333
Elvis Andrus,TEX,SS,15250000
Danny Duffy,KC,SP,15250000
Brandon Crawford,SF,SS,15200000
Jean Segura,PHI,SS,15050000
Martin Prado,MIA,3B,15000000
Paul Goldschmidt,STL,1B,15000000
Charlie Morton,TB,SP,15000000
Chris Sale,BOS,SP,15000000
Lorenzo Cain,MIL,CF,15000000
Jason Kipnis,CLE,2B,14666667
Dustin Pedroia,BOS,2B,14521686
Nelson Cruz,MIN,DH,14300000
Jay Bruce,SEA,RF,14000000
Alex Cobb,BAL,SP,14000000
Gerrit Cole,HOU,SP,13500000
Dee Gordon,SEA,2B,13500000
Mark Trumbo,BAL,DH,13274428
Jedd Gyorko,STL,3B,13166666
Andrelton Simmons,LAA,SS,13000000
Zack Britton,NYY,RP,13000000
Trevor Bauer,CLE,SP,13000000
Josh Reddick,HOU,RF,13000000
Daniel Murphy,COL,1B,13000000
Patrick Corbin,WSH,SP,12916666
Kris Bryant,CHC,3B,12900000
Zack Cozart,LAA,3B,12666667
Ben Zobrist,CHC,2B,12500000
Tyler Chatwood,CHC,RP,12500000
Anthony Rizzo,CHC,1B,12285714
Marcell Ozuna,STL,LF,12250000
Andrew Miller,STL,RP,12250000
Starlin Castro,MIA,2B,12000000
Madison Bumgarner,SF,SP,12000000
Xander Bogaerts,BOS,SS,12000000
DJ LeMahieu,NYY,2B,12000000
Manny Machado,SD,3B,12000000
Marwin Gonzalez,MIN,3B,12000000
George Springer,HOU,CF,12000000
Kendrys Morales,OAK,DH,12000000
Carlos Martinez,STL,SP,11800000
Didi Gregorius,NYY,SS,11750000
Bryce Harper,PHI,RF,11538461
Francisco Cervelli,PIT,C,11500000
Salvador Perez,KC,C,11200000
Julio Teheran,ATL,SP,11166666
Matt Harvey,LAA,SP,11000000
David Robertson,PHI,RP,11000000
Andrew McCutchen,PHI,LF,11000000
Kole Calhoun,LAA,RF,10833333
Starling Marte,PIT,CF,10666666
Francisco Lindor,CLE,SS,10550000
Jose Quintana,CHC,SP,10500000
Carlos Carrasco,CLE,SP,10500000
Brandon Morrow,CHC,RP,10500000
Yulieski Gurriel,HOU,1B,10000000
Tanner Roark,CIN,SP,10000000
Mike Moustakas,MIL,2B,10000000
Nick Castellanos,DET,RF,9950000
Christian Yelich,MIL,RF,9928571
Mike Minor,TEX,SP,9833333
Scooter Gennett,CIN,2B,9775000
Yasiel Puig,CIN,RF,9700000
Alex Wood,CIN,SP,9650000
Jose Altuve,HOU,2B,9500000
Andrew Cashner,BAL,SP,9500000
Jake Odorizzi,MIN,SP,9500000
Yusei Kikuchi,SEA,SP,9500000
Kevin Gausman,ATL,SP,9350000
Lance Lynn,TEX,SP,9333333
Juan Nicasio,PHI,RP,9250000
Ivan Nova,CWS,SP,9166667
Bryan Shaw,COL,RP,9166666
Jake McGee,COL,RP,9166666
Juan Lagares,NYM,CF,9100000
Jason Vargas,NYM,SP,9000000
Kelvin Herrera,CWS,RP,9000000
Trevor Cahill,LAA,SP,9000000
Adam Ottavino,NYY,RP,9000000
Brian Dozier,WSH,2B,9000000
Anibal Sanchez,WSH,SP,9000000
Todd Frazier,NYM,3B,9000000
Jacob deGrom,NYM,SP,9000000
Tommy Hunter,PHI,RP,9000000
Darren O'''Day,ATL,RP,8854712
Adam Eaton,WSH,RF,8700000
Kevin Kiermaier,TB,CF,8583333
James Paxton,NYY,SP,8575000
Jackie Bradley Jr.,BOS,CF,8550000
Yonder Alonso,CWS,DH,8500000
Corey Dickerson,PIT,LF,8500000
Cody Allen,LAA,RP,8500000
Anthony Swarzak,SEA,RP,8500000
Jed Lowrie,NYM,2B,8500000
Addison Reed,MIN,RP,8500000
Rougned Odor,TEX,2B,8333333
Pat Neshek,PHI,RP,8125000
Kyle Gibson,MIN,SP,8125000
Miles Mikolas,STL,SP,8000000
Jason Castro,MIN,C,8000000
Michael Pineda,MIN,SP,8000000
Wilson Ramos,NYM,C,8000000
Justin Smoak,TOR,1B,8000000
CC Sabathia,NYY,SP,8000000
Joe Smith,HOU,RP,8000000
Chris Archer,PIT,SP,7758333
Cesar Hernandez,PHI,2B,7750000
Brett Cecil,STL,RP,7750000
Welington Castillo,CWS,C,7500000
Steve Cishek,CHC,RP,7500000
Sonny Gray,CIN,SP,7500000
Jonathan Schoop,MIN,2B,7500000
Brett Gardner,NYY,LF,7500000
Stephen Piscotty,OAK,RF,7500000
Brad Hand,CLE,RP,7416666
Kyle Hendricks,CHC,SP,7405000
Marcus Stroman,TOR,SP,7400000
Mike Dunn,COL,RP,7333333
Alex Colome,CWS,RP,7325000
Eugenio Suarez,CIN,3B,7285714
Yan Gomes,WSH,C,7250000
Dellin Betances,NYY,RP,7250000
David Peralta,ARI,LF,7000000
Derek Holland,SF,SP,7000000
Drew Smyly,TEX,SP,7000000
Trevor Rosenthal,WSH,RP,7000000
Garrett Richards,SD,SP,7000000
Chase Anderson,MIL,SP,6750000
Jhoulys Chacin,MIL,SP,6750000
Kolten Wong,STL,2B,6700000
Gregory Polanco,PIT,OF,6700000
Jeurys Familia,NYM,RP,6666666
Mitch Moreland,BOS,1B,6500000
Roberto Osuna,HOU,RP,6500000
Joakim Soria,OAK,RP,6500000
Tony Watson,SF,RP,6500000
Sean Doolittle,WSH,RP,6500000
Aaron Hicks,NYY,CF,6428571
Blake Treinen,OAK,RP,6400000
Michael Wacha,STL,SP,6350000
Eric Thames,MIL,1B,6333333
Ken Giles,TOR,RP,6300000
Pedro Strop,CHC,RP,6250000
Steve Pearce,BOS,1B,6250000
Max Kepler,MIN,RF,6200000
Eduardo Escobar,ARI,3B,6166666
Robbie Ray,ARI,SP,6050000
Yusmeiro Petit,OAK,RP,6000000
Tyler Flowers,ATL,C,6000000
Nick Markakis,ATL,RF,6000000
Raisel Iglesias,CIN,RP,6000000
Noah Syndergaard,NYM,SP,6000000
Mike Fiers,OAK,SP,6000000
Zack Wheeler,NYM,SP,5975000
Marcus Semien,OAK,SS,5900000
J.T. Realmuto,PHI,C,5900000
Kevin Pillar,TOR,CF,5800000
Collin McHugh,HOU,SP,5800000
Robinson Chirinos,HOU,C,5750000
Tyson Ross,DET,SP,5750000
Ender Inciarte,ATL,CF,5700000
Wil Myers,SD,LF,5666666
Aaron Nola,PHI,SP,5562500
Odubel Herrera,PHI,CF,5550000
Luke Gregerson,STL,RP,5500000
Mike Foltynewicz,ATL,SP,5475000
Jordy Mercer,DET,SS,5250000
Billy Hamilton,KC,CF,5250000
A.J. Pollock,LAD,CF,5250000
Fernando Rodney,OAK,RP,5250000
Maikel Franco,PHI,3B,5200000
Javier Baez,CHC,SS,5200000
Luis Severino,NYY,SP,5187500
Corey Knebel,MIL,RP,5125000
Taijuan Walker,ARI,SP,5025000
Eduardo Nunez,BOS,3B,5000000
Brandon Kintzler,CHC,RP,5000000
Randal Grichuk,TOR,RF,5000000
Trevor Story,COL,SS,5000000
Justin Wilson,NYM,RP,5000000
Sam Dyson,SF,RP,5000000
Freddy Galvis,TOR,SS,5000000
Carlos Correa,HOU,SS,5000000
Joc Pederson,LAD,LF,5000000
Jonathan Villar,BAL,2B,4825000
Jake Lamb,ARI,1B,4825000
Arodys Vizcaino,ATL,RP,4800000
C.J. Cron,MIN,1B,4800000
Felipe Vazquez,PIT,RP,4750000
Travis Shaw,MIL,3B,4675000
Joe Kelly,LAD,RP,4666666
Jorge Soler,KC,RF,4666666
Nate Jones,CWS,RP,4650000
Yolmer Sanchez,CWS,2B,4625000
Chris Iannetta,COL,C,4525000
Hector Rondon,HOU,RP,4500000
David Freese,LAD,3B,4500000
Wade Miley,HOU,SP,4500000
Danny Salazar,CLE,SP,4500000
Mike Zunino,TB,C,4412500
Eduardo Rodriguez,BOS,SP,4300000
Alex Avila,ARI,C,4250000
Wilmer Flores,ARI,2B,4250000
Will Smith,SF,RP,4225000
Will Harris,HOU,RP,4225000
Carlos Rodon,CWS,SP,4200000
Eddie Rosario,MIN,LF,4190000
Jorge Polanco,MIN,SS,4158333
Jose Ramirez,CLE,3B,4150000
Steven Souza Jr.,ARI,RF,4125000
Lance McCullers Jr.,HOU,SP,4100000
Tommy Pham,TB,LF,4100000
Michael Conforto,NYM,RF,4025000
Shane Greene,DET,RP,4000000
Corey Seager,LAD,SS,4000000
Marco Estrada,OAK,SP,4000000
Ian Kinsler,SD,2B,4000000
Jesse Chavez,TEX,RP,4000000
Matt Adams,WSH,1B,4000000
Kurt Suzuki,WSH,C,4000000
Howie Kendrick,WSH,OF,4000000
Martin Perez,MIN,RP,4000000
Jon Jay,CWS,RF,4000000
Aaron Sanchez,TOR,SP,3900000
