name,year,area_m2,area_k2,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,native2016,pacific2016,black2016,other2016,white2016,births10to16,deaths10to16
Alamance,1849,435,1127,151144,153291,153673,153673,155613,157235,159054,2948,2482,30645,3653,119326,11084,9655
Alexander,1847,263,681,37183,37087,37424,37424,37980,37921,38284,205,383,2069,566,35061,2215,2304
Alleghany,1859,236,611,11154,11052,11051,11051,11138,11171,11202,73,85,155,125,10764,592,863
Anson,1750,537,1391,26931,26143,26278,26278,26426,26100,25628,225,382,12373,434,12214,1598,1809
Ashe,1799,427,1106,27234,27143,27358,27358,27438,27258,27344,75,143,207,347,26572,1474,2088
Avery,1911,247,640,17795,17572,17855,17855,17900,17814,18098,110,86,753,144,17005,902,1232
Beaufort,1712,959,2484,47779,47691,47777,47777,47742,47749,47610,588,269,11373,768,34612,3048,3660
Bertie,1722,741,1919,21285,20874,20579,20579,20576,20548,19847,93,164,12227,249,7114,1144,1645
Bladen,1734,887,2297,35177,35190,35179,35179,35135,34967,34667,975,97,11711,611,21273,2233,2528
Brunswick,1764,1050,2719,107431,110097,115677,115677,119572,123404,127750,1179,1013,14382,2327,108849,6505,7660
Buncombe,1791,660,1709,238352,241419,248467,248467,251284,254496,258406,1566,3833,15329,5884,231794,16242,15594
Burke,1777,515,1334,90822,90904,89219,89219,88889,89022,89814,947,3978,5963,1728,77198,5448,6227
Cabarrus,1792,365,945,178112,181468,186460,186460,190701,195483,200663,1550,5457,34836,4493,154327,14680,9127
Caldwell,1841,474,1228,83038,82395,82445,82445,82394,82528,82793,620,567,3991,1439,76176,5034,5680
Camden,1777,306,793,9980,10014,10100,10100,10210,10203,10287,39,220,1350,281,8397,565,476
Carteret,1722,1341,3473,66468,67373,69217,69217,69536,69789,69881,391,856,3978,1650,63006,3827,4924
Caswell,1777,428,1109,23748,23403,23824,23824,23648,23623,23689,140,71,7835,445,15198,1289,1657
Catawba,1842,414,1072,154771,154181,155565,155565,155715,156002,156473,1038,6010,13568,3178,132679,11036,9861
Chatham,1771,709,1836,63504,64195,67492,67492,69185,71701,73286,1207,1099,8870,1306,60804,3943,4090
Cherokee,1839,497,1287,27441,27194,27387,27387,27506,27737,28591,394,202,382,935,26678,1389,2223
Chowan,1668,233,603,14793,14831,14811,14811,14646,14524,14410,62,108,4748,198,9294,945,1191
Clay,1861,221,572,10594,10563,10869,10869,10886,11057,11320,34,33,76,176,11001,521,870
Cleveland,1841,469,1215,98065,97489,97377,97377,97714,97836,98244,418,889,20326,1793,74818,6749,6983
Columbus,1808,954,2471,58111,57712,57748,57748,57478,57270,57182,1981,280,18440,1056,35425,3935,4377
Craven,1705,774,2005,103501,104786,104393,104393,104393,103631,103737,616,2869,23436,3098,73718,9726,6551
