V1,V2,V3,V4,V5,V6,V7,V8
1.464348042,-1.328546758,4,0.218139567,-3.064268913,-4.430153894,4.751277516,-3.014
5.17682177,-1.840572033,-3,2.321294647,-0.050243316,-2.360960483,2.898337257,-1.773
0.2791544,-1.733918923,7,0.53841354,1.635383908,-3.909141978,2.879939856,4.634
0.236896138,6.437746502,0,-1.945385839,-3.974179993,4.003086208,4.803968077,3.803
0.381196854,-2.751808765,0,-7.52841228,3.193434776,4.258975922,2.782309433,-3.19
0.786658032,-0.628548847,5,3.985639974,-5.248254568,6.062515942,-2.207639439,4.592
-0.445181482,-1.722774354,2,-0.984046838,-3.74971081,6.792738981,5.3012978,-4.561
1.138676731,-1.408158448,-3,-0.714559016,4.025974226,-5.480125481,1.486963446,-2.403
-0.811707809,1.669349647,4,-0.473183546,-2.067114275,2.514982737,6.431464174,-4.167
-0.184598599,-1.040247124,2,0.842092548,-4.556467833,7.101332017,0.048645346,4.268
1.111389588,-1.882381927,-1,0.156167669,-1.444440669,4.199103198,-2.94224904,2.898
1.287403245,-0.958725417,-3,0.728862078,-4.912668859,7.028078227,1.833726524,-4.359
0.939825186,0.36799364,-2,0.411401452,-4.539754235,-0.195439975,4.549061503,4.947
-1.222451463,-0.921757104,3,-0.196070721,-1.160451307,2.49109328,-2.447268593,3.576
1.432350854,-1.235672608,2,4.003874243,-1.063755468,5.863929374,-4.368362049,4.643
-0.998401044,-1.284040012,-2,-6.809621474,-0.176756896,5.46109021,-4.598134753,-3.626
0.401737108,-1.755850952,-3,2.563154166,-2.792965949,1.721366294,0.671727799,-2.702
-1.094246794,4.280917173,2,0.783453756,-3.119577524,-1.511435165,-2.001578092,4.184
0.452334075,-1.666475879,6,4.20434272,-1.202214959,-1.010795347,0.887395486,-4.827
-1.865622057,-2.561046301,1,0.436345581,2.452302294,3.09847546,0.705263025,-3.449
0.247314727,2.068459857,7,2.845838387,-0.162778387,-6.506464364,3.081535674,-3.129
-0.491749781,-2.060641013,0,-0.817100294,-0.095684464,-3.651361199,5.13148528,4.727
0.027877858,7.69470291,-5,0.242020956,-2.373560694,-5.5627632,1.601790354,4.993
-0.764065769,-1.113229461,2,0.114417122,-2.391424393,1.328031559,-2.407380417,2.851
-0.834230462,10.09622192,0,-1.257161651,-0.408451563,-2.457833823,0.483888568,3.935
-0.616277398,-0.269769107,-5,0.307477815,-4.609586645,-5.002055393,1.902854241,4.083
0.070422075,-2.158350453,-1,-3.663817071,1.487850824,7.254352112,-3.117779535,4.415
-0.897411673,-2.999819508,-4,-0.86486452,-0.104342518,6.251873877,-2.601001074,-4.107
0.31210842,-0.249809824,1,0.959554128,-2.296014221,5.389834362,-2.456630725,4.869
2.744069392,1.227497668,0,-1.380674654,-1.886520075,-2.650067035,2.567415357,-3.864
-2.251784654,1.008161156,-1,-0.788646809,-3.394826626,-4.079649669,0.829623717,1.147
-0.46593547,1.407906174,-3,-1.067726732,-2.278375368,1.066037562,0.12844347,4.333
1.217520641,-2.911209715,-4,0.691815263,-0.57799765,6.349105317,2.374057027,-4.332
0.662648876,3.184213243,3,-1.498462634,-4.237650606,4.820983292,7.773703246,-3.606
-0.006734917,-1.889926531,-3,0.370297773,2.983481081,6.12253412,2.452960624,-4.315
1.665190726,-0.098859575,-3,-0.24609966,-5.047649648,-4.148738642,0.313111849,-4.377
7.569911338,-1.149237757,2,-1.670875538,-2.7218756,-5.216845156,-0.62954322,-3.22
-0.191729446,-2.424603578,-1,-1.021427673,-4.144810745,-1.483729888,6.622378523,-4.901
-0.207530297,-2.988642071,-5,3.754040982,0.54871844,6.127174088,-3.532860713,2.283
-1.859427999,-0.3450397,3,0.675247165,-2.848415398,2.404363386,3.171840258,3.561
0.355612699,3.51369529,-2,0.288385592,-2.557239346,4.733907275,4.207536882,2.503
0.67817008,-2.219654005,7,-1.41580347,1.192373411,-6.199630147,-0.558491994,-4.939
-0.260031887,-2.94038803,1,-1.068748674,-5.60083057,6.347493101,-1.99253388,4.099
-1.919477449,3.722245724,4,0.827396989,0.526794444,-2.072115112,-1.324468118,-3.819
-0.44609087,-2.731605889,1,-0.63765744,5.671727498,-5.114498107,-0.703516712,-4.206
0.84848153,0.678387738,1,-0.803361764,-4.720175597,0.813555162,2.38364419,-2.076
-0.947577948,0.665600996,0,0.9604604,3.429886229,-6.792718999,4.498438897,-4.391
1.181972508,-1.148267825,-2,-1.231249814,4.877303655,5.108208717,-0.184341306,2.193
-0.758869175,6.654082283,-6,1.11047274,1.339800629,-6.633688562,5.389575295,4.857
-0.46167423,-1.197437305,1,3.834081236,-2.795893352,-7.125662451,-0.295232122,-4.703
-3.843876187,-2.015935123,2,0.368565338,3.354077953,0.316118322,3.848035151,-4.052
-0.025977231,1.620560562,3,-0.901490339,3.049811018,-1.992259586,3.868648695,-4.586
3.734882139,-1.380830219,2,0.815870952,8.904513569,-4.36150123,1.074969613,-4.89
-0.633288179,-0.033853225,6,0.915602422,3.587291833,-3.083081103,1.781632016,4.147
-0.427110277,-2.713187184,-2,0.198101502,-1.43385408,0.59729392,-2.38190806,-3.932
-0.062604246,-1.40683247,-5,-0.323573398,-3.599612282,2.210306497,-0.650478258,-4.683
0.17328264,-2.533471813,1,0.204046578,-2.458905644,5.787191323,-1.120066375,-3.99
-0.359342906,6.065640733,0,-1.688148178,-0.439340783,-7.233874627,0.052904114,-3.355
0.906214132,-0.979319332,3,0.221469585,-2.090300358,-4.620780865,0.388425771,-4.876
4.118614648,-1.654349692,-1,0.665634823,1.692863703,-4.035713444,0.717820662,3.611
-0.372725303,-0.736578726,4,-0.818386182,4.23114153,5.845775876,-3.380435301,4.747
-0.047371973,3.151137175,4,0.537897645,-1.038136182,-7.351475716,2.816828113,-4.618
-0.081770783,-2.641991205,-1,-1.544024092,-1.105947455,-1.971991712,1.148641186,-4.299
-1.113028487,2.617620907,-8,-2.045215635,-2.319239919,6.23898516,-0.333862336,1.198
-0.400509002,-0.67807738,-2,0.141252819,-1.832301916,1.328218033,5.774878475,3.438
-1.183372394,-1.40682979,5,-9.475581872,2.452324472,0.087625216,-1.398464503,4.955
7.620075495,0.362794108,-6,-1.224114798,2.067978859,1.285135274,-6.142019983,-4.764
