type,fillgrams
original,2.84
original,3.44
original,3.14
original,3.29
original,3.07
original,3.18
original,3.21
original,3.03
original,3.04
original,3.01
original,2.7
original,3.12
original,2.91
original,3.3
original,3.1
original,3.16
original,3.25
original,3.1
original,2.96
original,3.05
original,3.12
original,3.13
original,3.21
original,2.98
original,3.1
original,3.03
original,3.26
original,2.97
original,3.12
original,2.63
original,2.6
original,3.37
original,2.77
original,2.87
original,3.27
original,3.35
original,3.28
original,3.41
original,3.18
original,3.22
original,3.17
original,3.23
original,3.24
original,3.33
original,3.46
original,3.4
original,3.35
original,3.29
original,3.2
original,3.51
original,2.9
original,2.88
original,2.81
original,2.83
original,3.06
original,2.9
original,2.89
original,3.09
original,3.09
original,3.13
original,3.18
original,3.11
original,3.15
original,3.22
original,2.99
original,3.14
original,3.02
original,3.08
original,3.08
original,3
original,3.09
original,2.94
original,3.02
original,3.01
original,3.05
original,3.18
original,3.08
original,3.12
original,3.09
original,3
original,3.13
original,2.99
original,3.19
original,2.96
original,2.99
original,3.13
original,2.94
original,3.09
original,3.29
original,3.19
original,3.13
original,2.96
original,3.17
original,3.06
double,6.09
double,6.16
double,6.3
double,6.06
double,6.14
double,6.04
double,6.1
double,6.38
double,6.42
double,5.83
double,6.11
double,6.22
double,5.91
double,5.53
double,5.67
double,6.12
double,6.07
double,5.91
double,6.27
double,6.13
double,6.01
double,5.8
double,6.25
double,6.18
double,6.47
double,6.55
double,6.47
double,6.55
double,6.41
double,6.26
double,6.11
double,5.96
double,6.21
double,6.23
double,6.16
double,5.91
double,6.16
double,7.19
double,6.3
double,7.41
double,6.19
double,6.09
double,6.13
double,6.26
double,6.33
double,6.36
double,5.92
double,6.13
double,6.18
double,6.2
double,6.3
double,5.97
double,6.07
double,6.04
double,6.29
double,6.36
double,6.21
double,6.47
double,6.51
double,6.16
double,6.1
double,5.96
double,6.01
double,5.9
double,6.2
double,6.12
double,6.07
double,6.16
double,6.38
double,6.04
double,5.92
double,5.05
double,5.98
double,6.06
double,5.77
double,6.25
double,6.03
double,5.96
double,6.26
