date,value_mil,change_mil,winner
 SAT 06/08/02 ,31,5,yes
 WED 06/12/02 ,10,-21,no
 SAT 06/15/02 ,12,2,no
 WED 06/19/02 ,14,2,yes
 SAT 06/22/02 ,10,-4,no
 WED 06/26/02 ,12,2,no
 SAT 06/29/02 ,14,2,no
 WED 07/03/02 ,16,2,no
 SAT 07/06/02 ,22,6,no
 WED 07/10/02 ,27,5,no
 SAT 07/13/02 ,31,4,no
 WED 07/17/02 ,35,4,no
 SAT 07/20/02 ,41,6,yes
 WED 07/24/02 ,10,-31,no
 SAT 07/27/02 ,12,2,no
 WED 07/31/02 ,14,2,no
 SAT 08/03/02 ,17,3,no
 WED 08/07/02 ,22,5,no
 SAT 08/10/02 ,28,6,no
 WED 08/14/02 ,33,5,no
 SAT 08/17/02 ,38,5,no
 WED 08/21/02 ,43,5,no
 SAT 08/24/02 ,49,6,no
 WED 08/28/02 ,55,6,no
 SAT 08/31/02 ,63,8,no
 WED 09/04/02 ,70,7,no
 SAT 09/07/02 ,80,10,no
 WED 09/11/02 ,88,8,no
 SAT 09/14/02 ,100,12,yes
 WED 09/18/02 ,10,-90,no
 SAT 09/21/02 ,12,2,no
 WED 09/25/02 ,14,2,no
 SAT 09/28/02 ,18,4,no
 WED 10/02/02 ,22,4,no
 SAT 10/05/02 ,27,5,no
 WED 10/09/02 ,36,9,no
 SAT 10/12/02 ,44,8,no
 WED 10/16/02 ,51,7,no
 SAT 10/19/02 ,60,9,no
 WED 10/23/02 ,72,12,no
 SAT 10/26/02 ,84,12,yes
 WED 10/30/02 ,10,-74,no
 SAT 11/02/02 ,12,2,no
 WED 11/06/02 ,17,5,no
 SAT 11/09/02 ,23,6,no
 WED 11/13/02 ,29,6,no
 SAT 11/16/02 ,37,8,no
 WED 11/20/02 ,44,7,no
 SAT 11/23/02 ,52,8,no
 WED 11/27/02 ,60,8,no
 SAT 11/30/02 ,69,9,no
 WED 12/04/02 ,80,11,no
 SAT 12/07/02 ,90,10,no
 WED 12/11/02 ,106,16,no
 SAT 12/14/02 ,129,23,no
 WED 12/18/02 ,163,34,no
 SAT 12/21/02 ,216,53,no
 WED 12/25/02 ,315,99,yes
 SAT 12/28/02 ,10,-305,no
 WED 01/01/03 ,12,2,no
 SAT 01/04/03 ,23,11,no
 WED 01/08/03 ,29,6,no
 SAT 01/11/03 ,38,9,no
 WED 01/15/03 ,47,9,no
 SAT 01/18/03 ,57,10,no
 WED 01/22/03 ,67,10,no
 SAT 01/25/03 ,77,10,no
 WED 01/29/03 ,86,9,no
 SAT 02/01/03 ,100,14,yes
 WED 02/05/03 ,10,-90,no
 SAT 02/08/03 ,12,2,no
 WED 02/12/03 ,20,8,no
 SAT 02/15/03 ,27,7,no
 WED 02/19/03 ,34,7,no
 SAT 02/22/03 ,42,8,yes
 WED 02/26/03 ,10,-32,no
 SAT 03/01/03 ,12,2,no
 WED 03/05/03 ,17,5,no
 SAT 03/08/03 ,24,7,no
 WED 03/12/03 ,30,6,no
 SAT 03/15/03 ,38,8,no
 WED 03/19/03 ,45,7,no
 SAT 03/22/03 ,53,8,no
 WED 03/26/03 ,62,9,yes
 SAT 03/29/03 ,10,-52,no
 WED 04/02/03 ,12,2,no
 SAT 04/05/03 ,18,6,no
 WED 04/09/03 ,24,6,no
 SAT 04/12/03 ,30,6,no
 WED 04/16/03 ,37,7,no
 SAT 04/19/03 ,44,7,no
 WED 04/23/03 ,51,7,no
 SAT 04/26/03 ,59,8,no
 WED 04/30/03 ,67,8,no
 SAT 05/03/03 ,77,10,no
 WED 05/07/03 ,87,10,yes
 SAT 05/10/03 ,10,-77,no
 WED 05/14/03 ,12,2,no
 SAT 05/17/03 ,18,6,no
 WED 05/21/03 ,23,5,no
 SAT 05/24/03 ,29,6,no
 WED 05/28/03 ,35,6,no
 SAT 05/31/03 ,42,7,no
 WED 06/04/03 ,48,6,no
 SAT 06/07/03 ,57,9,no
 WED 06/11/03 ,65,8,no
 SAT 06/14/03 ,75,10,no
 WED 06/18/03 ,82,7,no
 SAT 06/21/03 ,95,13,no
 WED 06/25/03 ,110,15,no
 SAT 06/28/03 ,135,25,no
 WED 07/02/03 ,165,30,no
 SAT 07/05/03 ,200,35,no
 WED 07/09/03 ,261,61,yes
 SAT 07/12/03 ,10,-251,no
 WED 07/16/03 ,14,4,yes
 SAT 07/19/03 ,10,-4,no
 WED 07/23/03 ,12,2,no
 SAT 07/26/03 ,18,6,no
 WED 07/30/03 ,25,7,no
 SAT 08/02/03 ,33,8,no
 WED 08/06/03 ,42,9,no
 SAT 08/09/03 ,53,11,no
 WED 08/13/03 ,61,8,no
 SAT 08/16/03 ,72,11,no
 WED 08/20/03 ,85,13,no
 SAT 08/23/03 ,100,15,no
 WED 08/27/03 ,115,15,no
 SAT 08/30/03 ,140,25,yes
 WED 09/03/03 ,10,-130,no
 SAT 09/06/03 ,12,2,no
 WED 09/10/03 ,20,8,no
 SAT 09/13/03 ,28,8,no
 WED 09/17/03 ,35,7,no
 SAT 09/20/03 ,43,8,no
 WED 09/24/03 ,50,7,no
 SAT 09/27/03 ,60,10,no
 WED 10/01/03 ,69,9,no
 SAT 10/04/03 ,79,10,no
 WED 10/08/03 ,88,9,no
 SAT 10/11/03 ,102,14,no
 WED 10/15/03 ,117,15,no
 SAT 10/18/03 ,140,23,no
 WED 10/22/03 ,162,22,no
