drawdate,powerball
1/18/2012,28
1/21/2012,07
1/25/2012,05
1/28/2012,13
2/1/2012,35
2/4/2012,07
2/8/2012,33
2/11/2012,11
2/15/2012,11
2/18/2012,05
2/22/2012,32
2/25/2012,07
2/29/2012,14
3/3/2012,35
3/7/2012,12
3/10/2012,05
3/14/2012,24
3/17/2012,30
3/21/2012,06
3/24/2012,08
3/28/2012,33
3/31/2012,27
4/4/2012,06
4/7/2012,18
4/11/2012,02
4/14/2012,02
4/18/2012,29
4/21/2012,16
4/25/2012,29
4/28/2012,33
5/2/2012,29
5/5/2012,23
5/9/2012,01
5/12/2012,22
5/16/2012,02
5/19/2012,30
5/23/2012,32
5/26/2012,14
5/30/2012,14
6/2/2012,33
6/6/2012,27
6/9/2012,27
6/13/2012,18
6/16/2012,26
6/20/2012,14
6/23/2012,30
6/27/2012,06
6/30/2012,22
7/4/2012,33
7/7/2012,29
7/11/2012,23
7/14/2012,13
7/18/2012,03
7/21/2012,20
7/25/2012,16
7/28/2012,13
8/1/2012,04
8/4/2012,18
8/8/2012,12
8/11/2012,01
8/15/2012,21
8/18/2012,01
8/22/2012,19
8/25/2012,23
8/29/2012,28
9/1/2012,22
9/5/2012,29
9/8/2012,29
9/12/2012,06
9/15/2012,01
9/19/2012,23
9/22/2012,33
9/26/2012,10
9/29/2012,08
10/3/2012,10
10/6/2012,35
10/10/2012,28
10/13/2012,18
10/17/2012,35
10/20/2012,10
10/24/2012,04
10/27/2012,33
10/31/2012,05
11/3/2012,25
11/7/2012,20
11/10/2012,32
11/14/2012,13
11/17/2012,20
11/21/2012,26
11/24/2012,34
11/28/2012,06
12/1/2012,03
12/5/2012,12
12/8/2012,21
12/12/2012,28
12/15/2012,14
12/19/2012,03
12/22/2012,11
12/26/2012,04
12/29/2012,14
1/2/2013,20
1/5/2013,25
1/9/2013,26
1/12/2013,07
1/16/2013,35
1/19/2013,35
1/23/2013,09
1/26/2013,18
1/30/2013,16
2/2/2013,34
2/6/2013,12
2/9/2013,03
2/13/2013,29
2/16/2013,29
2/20/2013,17
2/23/2013,29
2/27/2013,21
3/2/2013,16
3/6/2013,01
3/9/2013,12
3/13/2013,29
3/16/2013,16
3/20/2013,15
3/23/2013,31
3/27/2013,16
3/30/2013,27
4/3/2013,03
4/6/2013,24
4/10/2013,20
4/13/2013,33
4/17/2013,28
4/20/2013,20
4/24/2013,02
4/27/2013,05
5/1/2013,18
5/4/2013,17
5/8/2013,27
5/11/2013,16
5/15/2013,32
5/18/2013,11
5/22/2013,26
5/25/2013,25
5/29/2013,02
6/1/2013,14
6/5/2013,32
6/8/2013,19
6/12/2013,32
6/15/2013,01
6/19/2013,17
6/22/2013,28
6/26/2013,33
6/29/2013,16
7/3/2013,04
7/6/2013,11
7/10/2013,27
7/13/2013,06
7/17/2013,17
7/20/2013,06
7/24/2013,07
7/27/2013,06
7/31/2013,05
8/3/2013,15
8/7/2013,32
8/10/2013,13
8/14/2013,20
8/17/2013,23
8/21/2013,23
8/24/2013,19
8/28/2013,13
8/31/2013,20
9/4/2013,11
9/7/2013,24
9/11/2013,33
9/14/2013,20
9/18/2013,19
9/21/2013,13
9/25/2013,23
9/28/2013,05
10/2/2013,17
10/5/2013,05
10/9/2013,18
10/12/2013,04
10/16/2013,28
10/19/2013,05
10/23/2013,13
10/26/2013,29
10/30/2013,10
11/2/2013,17
11/6/2013,22
11/9/2013,32
11/13/2013,09
11/16/2013,10
11/20/2013,07
11/23/2013,10
11/27/2013,17
11/30/2013,29
12/4/2013,25
12/7/2013,17
12/11/2013,27
12/14/2013,34
12/18/2013,01
12/21/2013,08
12/25/2013,32
12/28/2013,18
1/1/2014,23
1/4/2014,14
1/8/2014,22
1/11/2014,34
1/15/2014,25
1/18/2014,25
1/22/2014,29
1/25/2014,02
1/29/2014,20
2/1/2014,07
2/5/2014,24
2/8/2014,29
2/12/2014,01
2/15/2014,03
2/19/2014,34
2/22/2014,04
2/26/2014,02
3/1/2014,13
3/5/2014,19
3/8/2014,30
3/12/2014,10
3/15/2014,09
3/19/2014,14
3/22/2014,15
3/26/2014,21
3/29/2014,17
4/2/2014,24
4/5/2014,29
4/9/2014,29
4/12/2014,20
4/16/2014,08
4/19/2014,21
4/23/2014,12
4/26/2014,20
4/30/2014,32
5/3/2014,26
5/7/2014,34
5/10/2014,01
5/14/2014,33
5/17/2014,22
5/21/2014,31
5/24/2014,18
5/28/2014,25
5/31/2014,01
6/4/2014,24
6/7/2014,15
6/11/2014,23
6/14/2014,30
6/18/2014,07
6/21/2014,26
6/25/2014,35
7/2/2014,35
7/5/2014,11
7/9/2014,14
7/12/2014,26
