experiment,source,pretreatment,pocks
1,early,mercuryandjalap,25
1,early,mercuryandjalap,13
1,early,mercuryandjalap,12
1,early,mercuryandjalap,6
1,early,mercuryandjalap,5
1,early,mercuryandjalap,4
1,early,mercuryandjalap,4
1,early,mercuryandjalap,3
1,early,mercuryandjalap,0
1,early,mercuryandjalap,0
1,early,sennaandrose,30
1,early,sennaandrose,5
1,early,sennaandrose,5
1,early,sennaandrose,5
1,early,sennaandrose,4
1,early,sennaandrose,4
1,early,sennaandrose,2
1,early,sennaandrose,2
1,early,sennaandrose,0
1,early,sennaandrose,0
1,early,none,200
1,early,none,17
1,early,none,16
1,early,none,16
1,early,none,16
1,early,none,16
1,early,none,3
1,early,none,2
1,early,none,2
1,early,none,0
1,early,none,0
2,mature,mercury,440
2,mature,mercury,25
2,mature,mercury,21
2,mature,mercury,21
2,mature,mercury,21
2,mature,mercury,2
2,mature,mercury,20
2,mature,mercury,7
2,mature,sennaandrose,64
2,mature,sennaandrose,26
2,mature,sennaandrose,26
2,mature,sennaandrose,26
2,mature,sennaandrose,26
2,mature,sennaandrose,26
2,mature,sennaandrose,18
2,mature,sennaandrose,3
2,mature,none,60
2,mature,none,15
2,mature,none,15
2,mature,none,15
2,mature,none,15
2,mature,none,3
2,mature,none,2
3,late,none,250
3,late,none,168
3,late,none,93
3,late,none,45
3,late,none,45
3,late,none,45
3,late,none,45
3,late,none,45
3,late,none,45
3,late,none,45
3,late,none,45
3,late,none,45
3,late,none,45
3,late,none,45
3,late,none,4
3,late,none,4
3,late,none,4
3,late,none,2
3,late,none,0
3,late,none,0
