year,month,date,average,sd
1749,1,1749.042,58,24.1
1749,2,1749.123,62.6,25.1
1749,3,1749.204,70,26.6
1749,4,1749.288,55.7,23.6
1749,5,1749.371,85,29.4
1749,6,1749.455,83.5,29.2
1749,7,1749.538,94.8,31.1
1749,8,1749.623,66.3,25.9
1749,9,1749.707,75.9,27.7
1749,10,1749.79,75.5,27.7
1749,11,1749.874,158.6,40.6
1749,12,1749.958,85.2,29.5
1750,1,1750.042,73.3,27.3
1750,2,1750.123,75.9,27.7
1750,3,1750.204,89.2,30.2
1750,4,1750.288,88.3,30
1750,5,1750.371,90,30.3
1750,6,1750.455,100,32
1750,7,1750.538,85.4,29.5
1750,8,1750.623,103,32.5
1750,9,1750.707,91.2,30.5
1750,10,1750.79,65.7,25.7
1750,11,1750.874,63.3,25.3
1750,12,1750.958,75.4,27.7
1751,1,1751.042,70,26.6
1751,2,1751.123,43.5,20.8
1751,3,1751.204,45.3,21.2
1751,4,1751.288,56.4,23.8
1751,5,1751.371,60.7,24.7
1751,6,1751.455,50.7,22.5
1751,7,1751.538,66.3,25.9
1751,8,1751.623,59.8,24.5
1751,9,1751.707,23.5,15
1751,10,1751.79,23.2,14.9
1751,11,1751.874,28.5,16.6
1751,12,1751.958,44,20.9
1752,1,1752.042,35,18.5
1752,2,1752.124,50,22.3
1752,3,1752.206,71,26.8
1752,4,1752.29,59.3,24.4
1752,5,1752.373,59.7,24.5
1752,6,1752.456,39.6,19.8
1752,7,1752.54,78.4,28.2
1752,8,1752.624,29.3,16.9
1752,9,1752.708,27.1,16.2
1752,10,1752.791,46.6,21.5
1752,11,1752.874,37.6,19.2
1752,12,1752.958,40,19.9
1753,1,1753.042,44,20.9
1753,2,1753.123,32,17.7
1753,3,1753.204,45.7,21.3
1753,4,1753.288,38,19.3
1753,5,1753.371,36,18.8
1753,6,1753.455,31.7,17.6
1753,7,1753.538,22,14.5
1753,8,1753.623,39,19.6
1753,9,1753.707,28,16.5
1753,10,1753.79,25,15.5
1753,11,1753.874,20,13.8
1753,12,1753.958,6.7,7.5
1754,1,1754.042,0,1
1754,2,1754.123,3,4.7
1754,3,1754.204,1.7,3.3
1754,4,1754.288,13.7,11.2
1754,5,1754.371,20.7,14
1754,6,1754.455,26.7,16.1
1754,7,1754.538,18.8,13.3
1754,8,1754.623,12.3,10.6
1754,9,1754.707,8.2,8.4
1754,10,1754.79,24.1,15.2
1754,11,1754.874,13.2,11
1754,12,1754.958,4.2,5.8
1755,1,1755.042,10.2,9.5
1755,2,1755.123,11.2,10
1755,3,1755.204,6.8,7.6
1755,4,1755.288,6.5,7.4
1755,5,1755.371,0,1
1755,6,1755.455,0,1
1755,7,1755.538,8.6,8.7
1755,8,1755.623,3.2,4.9
1755,9,1755.707,17.8,12.9
1755,10,1755.79,23.7,15.1
1755,11,1755.874,6.8,7.6
1755,12,1755.958,20,13.8
1756,1,1756.042,12.5,10.7
1756,2,1756.124,7.1,7.8
1756,3,1756.206,5.4,6.7
1756,4,1756.29,9.4,9.1
1756,5,1756.373,12.5,10.7
1756,6,1756.456,12.9,10.9
1756,7,1756.54,3.6,5.3
1756,8,1756.624,6.4,7.3
1756,9,1756.708,11.8,10.3
1756,10,1756.791,14.3,11.5
1756,11,1756.874,17,12.6
1756,12,1756.958,9.4,9.1
1757,1,1757.042,14.1,11.4
1757,2,1757.123,21.2,14.2
1757,3,1757.204,26.2,15.9
1757,4,1757.288,30,17.1
1757,5,1757.371,38.1,19.4
1757,6,1757.455,12.8,10.8
1757,7,1757.538,25,15.5
1757,8,1757.623,51.3,22.6
1757,9,1757.707,39.7,19.8
1757,10,1757.79,32.5,17.8
1757,11,1757.874,64.7,25.5
1757,12,1757.958,33.5,18.1
1758,1,1758.042,37.6,19.2
1758,2,1758.123,52,22.8
1758,3,1758.204,49,22.1
1758,4,1758.288,72.3,27.1
1758,5,1758.371,46.4,21.5
1758,6,1758.455,45,21.1
1758,7,1758.538,44,20.9
1758,8,1758.623,38.7,19.5
