Sex,Survival
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
Female,Survived
