year,month,date,rate
1968,Jan,1968.041,3.7
1968,Feb,1968.1257,3.8
1968,Mar,1968.2049,3.7
1968,Apr,1968.2896,3.5
1968,May,1968.3716,3.5
1968,Jun,1968.4563,3.7
1968,Jul,1968.5383,3.7
1968,Aug,1968.623,3.5
1968,Sep,1968.7077,3.4
1968,Oct,1968.7896,3.4
1968,Nov,1968.8743,3.4
1968,Dec,1968.9563,3.4
1969,Jan,1969.0411,3.4
1969,Feb,1969.126,3.4
1969,Mar,1969.2027,3.4
1969,Apr,1969.2877,3.4
1969,May,1969.3699,3.4
1969,Jun,1969.4548,3.5
1969,Jul,1969.537,3.5
1969,Aug,1969.6219,3.5
1969,Sep,1969.7068,3.7
1969,Oct,1969.789,3.7
1969,Nov,1969.874,3.5
1969,Dec,1969.9562,3.5
1970,Jan,1970.0411,3.9
1970,Feb,1970.126,4.2
1970,Mar,1970.2027,4.4
1970,Apr,1970.2877,4.6
1970,May,1970.3699,4.8
1970,Jun,1970.4548,4.9
1970,Jul,1970.537,5
1970,Aug,1970.6219,5.1
1970,Sep,1970.7068,5.4
1970,Oct,1970.789,5.5
1970,Nov,1970.874,5.9
1970,Dec,1970.9562,6.1
1971,Jan,1971.0411,5.9
1971,Feb,1971.126,5.9
1971,Mar,1971.2027,6
1971,Apr,1971.2877,5.9
1971,May,1971.3699,5.9
1971,Jun,1971.4548,5.9
1971,Jul,1971.537,6
1971,Aug,1971.6219,6.1
1971,Sep,1971.7068,6
1971,Oct,1971.789,5.8
1971,Nov,1971.874,6
1971,Dec,1971.9562,6
1972,Jan,1972.041,5.8
1972,Feb,1972.1257,5.7
1972,Mar,1972.2049,5.8
1972,Apr,1972.2896,5.7
1972,May,1972.3716,5.7
1972,Jun,1972.4563,5.7
1972,Jul,1972.5383,5.6
1972,Aug,1972.623,5.6
1972,Sep,1972.7077,5.5
1972,Oct,1972.7896,5.6
1972,Nov,1972.8743,5.3
1972,Dec,1972.9563,5.2
1973,Jan,1973.0411,4.9
1973,Feb,1973.126,5
1973,Mar,1973.2027,4.9
1973,Apr,1973.2877,5
1973,May,1973.3699,4.9
1973,Jun,1973.4548,4.9
1973,Jul,1973.537,4.8
1973,Aug,1973.6219,4.8
1973,Sep,1973.7068,4.8
1973,Oct,1973.789,4.6
1973,Nov,1973.874,4.8
1973,Dec,1973.9562,4.9
1974,Jan,1974.0411,5.1
1974,Feb,1974.126,5.2
