INCITScode,state,county_or_unit,population
1001,Alabama,Autauga County,55246
1003,Alabama,Baldwin County,195540
1005,Alabama,Barbour County,27076
1007,Alabama,Bibb County,22512
1009,Alabama,Blount County,57872
1011,Alabama,Bullock County,10639
1013,Alabama,Butler County,20265
1015,Alabama,Calhoun County,116736
1017,Alabama,Chambers County,34162
1019,Alabama,Cherokee County,26203
1021,Alabama,Chilton County,43951
1023,Alabama,Choctaw County,13426
1025,Alabama,Clarke County,25207
1027,Alabama,Clay County,13486
1029,Alabama,Cleburne County,14994
1031,Alabama,Coffee County,50938
1033,Alabama,Colbert County,54520
1035,Alabama,Conecuh County,12887
1037,Alabama,Coosa County,10898
1039,Alabama,Covington County,37886
1041,Alabama,Crenshaw County,13986
1043,Alabama,Cullman County,80811
1045,Alabama,Dale County,49884
1047,Alabama,Dallas County,41996
1049,Alabama,DeKalb County,71013
1051,Alabama,Elmore County,80902
1053,Alabama,Escambia County,37983
1055,Alabama,Etowah County,103931
1057,Alabama,Fayette County,16909
1059,Alabama,Franklin County,31532
1061,Alabama,Geneva County,26727
1063,Alabama,Greene County,8744
1065,Alabama,Hale County,15406
1067,Alabama,Henry County,17296
1069,Alabama,Houston County,103668
1071,Alabama,Jackson County,52951
1073,Alabama,Jefferson County,659479
1075,Alabama,Lamar County,14236
1077,Alabama,Lauderdale County,92797
1079,Alabama,Lawrence County,33587
1081,Alabama,Lee County,150933
1083,Alabama,Limestone County,88845
1085,Alabama,Lowndes County,10703
1087,Alabama,Macon County,19688
1089,Alabama,Madison County,346892
1091,Alabama,Marengo County,20155
1093,Alabama,Marion County,30334
1095,Alabama,Marshall County,94760
1097,Alabama,Mobile County,414079
1099,Alabama,Monroe County,22236
1101,Alabama,Montgomery County,226659
1103,Alabama,Morgan County,119787
1105,Alabama,Perry County,10020
1107,Alabama,Pickens County,19401
1109,Alabama,Pike County,33339
1111,Alabama,Randolph County,22727
1113,Alabama,Russell County,59585
1115,Alabama,St. Clair County,86308
1117,Alabama,Shelby County,204180
1119,Alabama,Sumter County,13361
1121,Alabama,Talladega County,81096
1123,Alabama,Tallapoosa County,41203
1125,Alabama,Tuscaloosa County,200821
1127,Alabama,Walker County,65998
1129,Alabama,Washington County,16877
1131,Alabama,Wilcox County,11307
1133,Alabama,Winston County,24146
2013,Alaska,Aleutians East Borough,3092
2016,Alaska,Aleutians West Census Area,5511
2020,Alaska,"Anchorage, Municipality of",300950
2050,Alaska,Bethel Census Area,17758
2060,Alaska,Bristol Bay Borough,960
2068,Alaska,Denali Borough,1867
2070,Alaska,Dillingham Census Area,5010
2090,Alaska,Fairbanks North Star Borough,100436
2100,Alaska,Haines Borough,2592
2105,Alaska,Hoonah–Angoon Census Area,2145
2110,Alaska,"Juneau, City and Borough of",32660
2122,Alaska,Kenai Peninsula Borough,57147
2130,Alaska,Ketchikan Gateway Borough,13729
2150,Alaska,Kodiak Island Borough,14135
2164,Alaska,Lake and Peninsula Borough,1648
2170,Alaska,Matanuska-Susitna Borough,95192
2180,Alaska,Nome Census Area,9892
2185,Alaska,North Slope Borough,9686
2188,Alaska,Northwest Arctic Borough,7685
2195,Alaska,Petersburg Borough,3774
2198,Alaska,Prince of Wales – Hyder Census Area,5786
2220,Alaska,"Sitka, City and Borough of",9020
2230,Alaska,"Skagway, Municipality of",995
2240,Alaska,Southeast Fairbanks Census Area,6985
2261,Alaska,Valdez–Cordova Census Area,9763
2270,Alaska,Kusilvak Census Area,7977
2275,Alaska,"Wrangell, City and Borough of",2400
2282,Alaska,"Yakutat, City and Borough of",642
2290,Alaska,Yukon–Koyukuk Census Area,5695
4001,Arizona,Apache County,71934
4003,Arizona,Cochise County,129473
4005,Arizona,Coconino County,136539
4007,Arizona,Gila County,53053
4009,Arizona,Graham County,37482
4011,Arizona,Greenlee County,9049
4012,Arizona,La Paz County,20324
4013,Arizona,Maricopa County,4009412
4015,Arizona,Mohave County,203030
4017,Arizona,Navajo County,107322
4019,Arizona,Pima County,996554
4021,Arizona,Pinal County,389350
4023,Arizona,Santa Cruz County,46768
4025,Arizona,Yavapai County,215133
4027,Arizona,Yuma County,201201
5001,Arkansas,Arkansas County,18777
5003,Arkansas,Ashley County,21283
5005,Arkansas,Baxter County,40957
5007,Arkansas,Benton County,237297
5009,Arkansas,Boone County,37396
5011,Arkansas,Bradley County,11249
5013,Arkansas,Calhoun County,5241
5015,Arkansas,Carroll County,27808
5017,Arkansas,Chicot County,11335
5019,Arkansas,Clark County,22743
5021,Arkansas,Clay County,15402
5023,Arkansas,Cleburne County,25686
5025,Arkansas,Cleveland County,8593
5027,Arkansas,Columbia County,24164
5029,Arkansas,Conway County,21245
5031,Arkansas,Craighead County,101488
5033,Arkansas,Crawford County,61640
5035,Arkansas,Crittenden County,49746
5037,Arkansas,Cross County,17548
5039,Arkansas,Dallas County,7933
5041,Arkansas,Desha County,12505
5043,Arkansas,Drew County,18785
5045,Arkansas,Faulkner County,119580
5047,Arkansas,Franklin County,18034
5049,Arkansas,Fulton County,12304
5051,Arkansas,Garland County,97173
5053,Arkansas,Grant County,18019
5055,Arkansas,Greene County,43097
5057,Arkansas,Hempstead County,22474
5059,Arkansas,Hot Spring County,33500
5061,Arkansas,Howard County,13581
5063,Arkansas,Independence County,36997
5065,Arkansas,Izard County,13368
5067,Arkansas,Jackson County,17615
5069,Arkansas,Jefferson County,73191
5071,Arkansas,Johnson County,25846
5073,Arkansas,Lafayette County,7252
5075,Arkansas,Lawrence County,17011
5077,Arkansas,Lee County,10015
5079,Arkansas,Lincoln County,14031
5081,Arkansas,Little River County,12730
5083,Arkansas,Logan County,22082
5085,Arkansas,Lonoke County,70753
5087,Arkansas,Madison County,15701
5089,Arkansas,Marion County,16430
5091,Arkansas,Miller County,43402
5093,Arkansas,Mississippi County,44765
5095,Arkansas,Monroe County,7682
5097,Arkansas,Montgomery County,9226
5099,Arkansas,Nevada County,8799
5101,Arkansas,Newton County,8064
5103,Arkansas,Ouachita County,25002
5105,Arkansas,Perry County,10345
5107,Arkansas,Phillips County,20399
5109,Arkansas,Pike County,11177
5111,Arkansas,Poinsett County,24145
5113,Arkansas,Polk County,20406
5115,Arkansas,Pope County,62547
5117,Arkansas,Prairie County,8374
5119,Arkansas,Pulaski County,391284
5121,Arkansas,Randolph County,17692
5123,Arkansas,St. Francis County,27260
5125,Arkansas,Saline County,114404
5127,Arkansas,Scott County,10950
5129,Arkansas,Searcy County,8023
5131,Arkansas,Sebastian County,127342
5133,Arkansas,Sevier County,17366
5135,Arkansas,Sharp County,17049
5137,Arkansas,Stone County,12581
5139,Arkansas,Union County,40694
5141,Arkansas,Van Buren County,16932
5143,Arkansas,Washington County,216410
5145,Arkansas,White County,78483
5147,Arkansas,Woodruff County,7072
5149,Arkansas,Yell County,21893
6001,California,Alameda County,1578891
6003,California,Alpine County,1159
6005,California,Amador County,36519
6007,California,Butte County,222090
6009,California,Calaveras County,44515
6011,California,Colusa County,21358
6013,California,Contra Costa County,1094205
6015,California,Del Norte County,27873
6017,California,El Dorado County,181737
6019,California,Fresno County,955272
6021,California,Glenn County,27940
6023,California,Humboldt County,134493
6025,California,Imperial County,176584
6027,California,Inyo County,18467
6029,California,Kern County,864124
6031,California,Kings County,150960
6033,California,Lake County,63860
6035,California,Lassen County,32163
6037,California,Los Angeles County,10017068
6039,California,Madera County,152389
6041,California,Marin County,258365
6043,California,Mariposa County,17755
6045,California,Mendocino County,87192
6047,California,Merced County,263228
6049,California,Modoc County,9147
6051,California,Mono County,14074
6053,California,Monterey County,428826
6055,California,Napa County,140326
6057,California,Nevada County,98200
6059,California,Orange County,3114363
6061,California,Placer County,367309
6063,California,Plumas County,18859
6065,California,Riverside County,2292507
6067,California,Sacramento County,1462131
6069,California,San Benito County,57600
6071,California,San Bernardino County,2088371
6073,California,San Diego County,3211252
6075,California,"San Francisco, City and County of",837442
6077,California,San Joaquin County,704379
6079,California,San Luis Obispo County,276443
