month,day,halfyear,draftnumber,calledup
1,1,first,305,no
1,2,first,159,yes
1,3,first,251,no
1,4,first,215,no
1,5,first,101,yes
1,6,first,224,no
1,7,first,306,no
1,8,first,199,no
1,9,first,194,yes
1,10,first,325,no
1,11,first,329,no
1,12,first,221,no
1,13,first,318,no
1,14,first,238,no
1,15,first,17,yes
1,16,first,121,yes
1,17,first,235,no
1,18,first,140,yes
1,19,first,58,yes
1,20,first,280,no
1,21,first,186,yes
1,22,first,337,no
1,23,first,118,yes
1,24,first,59,yes
1,25,first,52,yes
1,26,first,92,yes
1,27,first,355,no
1,28,first,77,yes
1,29,first,349,no
1,30,first,164,yes
1,31,first,211,no
2,1,first,86,yes
2,2,first,144,yes
2,3,first,297,no
2,4,first,210,no
2,5,first,214,no
2,6,first,347,no
2,7,first,91,yes
2,8,first,181,yes
2,9,first,338,no
2,10,first,216,no
2,11,first,150,yes
2,12,first,68,yes
2,13,first,152,yes
2,14,first,4,yes
2,15,first,89,yes
2,16,first,212,no
2,17,first,189,yes
2,18,first,292,no
2,19,first,25,yes
2,20,first,302,no
2,21,first,363,no
2,22,first,290,no
2,23,first,57,yes
2,24,first,236,no
2,25,first,179,yes
2,26,first,365,no
2,27,first,205,no
2,28,first,299,no
2,29,first,285,no
3,1,first,108,yes
3,2,first,29,yes
3,3,first,267,no
3,4,first,275,no
3,5,first,293,no
3,6,first,139,yes
3,7,first,122,yes
3,8,first,213,no
3,9,first,317,no
3,10,first,323,no
3,11,first,136,yes
3,12,first,300,no
3,13,first,259,no
3,14,first,354,no
3,15,first,169,yes
3,16,first,166,yes
3,17,first,33,yes
3,18,first,332,no
3,19,first,200,no
3,20,first,239,no
3,21,first,334,no
3,22,first,265,no
3,23,first,256,no
3,24,first,258,no
3,25,first,343,no
3,26,first,170,yes
3,27,first,268,no
3,28,first,223,no
3,29,first,362,no
3,30,first,217,no
3,31,first,30,yes
4,1,first,32,yes
4,2,first,271,no
4,3,first,83,yes
4,4,first,81,yes
4,5,first,269,no
4,6,first,253,no
4,7,first,147,yes
4,8,first,312,no
4,9,first,219,no
4,10,first,218,no
4,11,first,14,yes
4,12,first,346,no
4,13,first,124,yes
4,14,first,231,no
4,15,first,273,no
4,16,first,148,yes
4,17,first,260,no
4,18,first,90,yes
4,19,first,336,no
4,20,first,345,no
4,21,first,62,yes
4,22,first,316,no
4,23,first,252,no
4,24,first,2,yes
4,25,first,351,no
4,26,first,340,no
4,27,first,74,yes
4,28,first,262,no
4,29,first,191,yes
4,30,first,208,no
5,1,first,330,no
5,2,first,298,no
5,3,first,40,yes
5,4,first,276,no
5,5,first,364,no
5,6,first,155,yes
5,7,first,35,yes
5,8,first,321,no
5,9,first,197,no
5,10,first,65,yes
5,11,first,37,yes
5,12,first,133,yes
5,13,first,295,no
5,14,first,178,yes
5,15,first,130,yes
5,16,first,55,yes
5,17,first,112,yes
5,18,first,278,no
5,19,first,75,yes
5,20,first,183,yes
5,21,first,250,no
5,22,first,326,no
5,23,first,319,no
5,24,first,31,yes
5,25,first,361,no
5,26,first,357,no
5,27,first,296,no
5,28,first,308,no
5,29,first,226,no
5,30,first,103,yes
5,31,first,313,no
6,1,first,249,no
6,2,first,228,no
6,3,first,301,no
6,4,first,20,yes
6,5,first,28,yes
6,6,first,110,yes
6,7,first,85,yes
6,8,first,366,no
6,9,first,335,no
6,10,first,206,no
6,11,first,134,yes
6,12,first,272,no
6,13,first,69,yes
6,14,first,356,no
