fall,spring,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,total,snowinches
1975,1976,0,0,0,0,0,3,3,1,0,0,7,19
1976,1977,0,0,0,1,4,21,7,0,0,0,33,47.5
1977,1978,0,0,0,4,2,17,13,3,0,0,39,55.4
1978,1979,0,0,0,0,0,8,11,0,0,0,19,52
1979,1980,0,0,0,0,0,2,7,2,0,0,11,36
1980,1981,0,0,0,0,0,7,5,1,0,0,13,45.6
1981,1982,0,0,0,1,6,6,0,0,0,0,13,53.5
1982,1983,0,0,0,0,1,5,8,1,1,0,16,63.5
1983,1984,0,0,0,1,0,2,6,4,0,0,13,43
1984,1985,0,0,0,0,2,8,6,0,0,0,16,40
1985,1986,0,0,0,0,1,8,3,0,0,0,12,39
1986,1987,0,0,0,0,2,9,7,0,4,0,22,78.5
1987,1988,0,0,0,0,1,6,1,2,0,0,10,40
1988,1989,0,0,0,0,1,3,5,0,0,0,9,44.5
1989,1990,0,1,0,1,8,1,0,0,0,0,11,27.5
1990,1991,0,0,0,0,0,2,2,0,0,0,4,12.5
1991,1992,0,0,0,0,0,2,1,3,0,0,6,23.5
1992,1993,0,0,0,1,6,0,2,5,0,0,14,72
1993,1994,0,0,0,1,1,11,1,1,0,0,15,36
1994,1995,2,0,0,0,0,4,7,1,0,0,14,24.5
1995,1996,0,0,2,2,1,5,9,4,0,0,23,77
1996,1997,0,1,0,0,4,4,1,0,0,0,10,23.3
1997,1998,0,0,0,0,1,5,4,3,0,0,13,32.6
1998,1999,0,0,0,0,0,5,2,4,0,0,11,28.3
1999,2000,0,0,0,0,0,9,3,0,0,0,12,15.8
2000,2001,0,0,0,0,2,4,2,6,0,0,14,32.8
2001,2002,0,0,0,0,0,3,4,0,0,0,7,3.6
2002,2003,0,0,0,0,3,7,6,1,0,0,17,19.6
2003,2004,0,0,0,1,5,6,6,0,0,0,18,39.5
2004,2005,0,4,0,0,3,1,4,3,0,0,15,25.9
2005,2006,0,0,0,0,5,2,2,1,0,0,10,17.7
2006,2007,0,0,0,0,1,2,2,0,1,0,6,15.2
2007,2008,0,0,0,0,2,1,3,0,0,0,6,10.3
2008,2009,0,0,1,2,2,4,6,2,1,0,18,23.5
2009,2010,0,0,0,0,3,8,13,2,0,0,26,60.1
2010,2011,0,0,0,0,10,10,1,1,0,0,22,48
2011,2012,0,0,0,0,1,2,1,1,0,0,5,13.7
2012,2013,0,0,2,0,0,4,6,7,0,1,20,36.1
2013,2014,0,0,0,2,0,9,3,4,0,0,18,37.8
2014,2015,0,0,0,1,0,5,11,0,0,0,17,27.7
2015,2016,0,0,0,0,0,4,9,1,0,0,14,25.1
2016,2017,0,0,0,0,0,3,2,2,0,0,7,16.6
2017,2018,0,0,0,0,4,7,2,7,0,0,20,NA
