group,survivaldays
control,18
control,36
control,50
control,52
control,86
control,87
control,89
control,91
control,102
control,108
control,114
control,114
control,115
control,118
control,119
control,120
control,149
control,160
control,165
control,166
control,167
control,167
control,173
control,178
control,189
control,209
control,212
control,216
control,273
control,278
control,279
control,292
control,341
control,355
control,367
control,380
control,382
control,421
control,421
control,432
control,446
control,455
control,463
control,474
control,505
control,545
control,546
control,569
control,576
control,590
control,603
control,607
control,608
control,621
control,634
control,634
control,637
control,638
control,641
control,650
control,663
control,685
control,688
control,725
control,735
treatment,76
treatment,93
treatment,97
treatment,107
treatment,108
treatment,113
treatment,114
treatment,119
treatment,136
treatment,137
treatment,138
treatment,139
treatment,152
treatment,154
treatment,154
treatment,160
treatment,164
treatment,164
treatment,166
treatment,168
treatment,178
treatment,179
treatment,181
treatment,181
treatment,183
treatment,185
treatment,194
treatment,198
treatment,212
treatment,213
treatment,216
treatment,220
treatment,225
treatment,225
treatment,244
treatment,253
treatment,256
treatment,259
treatment,265
treatment,268
treatment,268
treatment,270
treatment,283
treatment,289
treatment,291
treatment,311
treatment,315
treatment,326
treatment,326
treatment,361
treatment,373
treatment,373
treatment,376
treatment,397
treatment,398
treatment,406
treatment,459
treatment,466
treatment,592
treatment,598
