City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,American Indian and Alaska Native,Asian,Black or African-American,Hispanic or Latino,White
Abilene,Texas,31.3,65212,60664,125876,9367,8129,2.64,TX,1813,2929,14449,33222,95487
Akron,Ohio,38.1,96886,100667,197553,12878,10024,2.24,OH,1845,9033,66551,3684,129192
Alafaya,Florida,33.5,39504,45760,85264,4176,15842,2.94,FL,"",10336,6577,34897,63666
Alameda,California,41.4,37747,40867,78614,4504,18841,2.52,CA,1329,27984,7364,8265,44232
Albany,Georgia,33.3,31695,39414,71109,5409,861,2.38,GA,445,650,53440,1783,17160
Albany,New York,32.8,47627,50825,98452,3643,11948,2.08,NY,1611,8090,31303,9368,58368
Albuquerque,New Mexico,36,273323,285808,559131,37443,58200,2.49,NM,32243,25140,26774,271854,411847
Alexandria,Virginia,36.6,74989,78522,153511,10635,44030,2.2,VA,1133,13315,37168,25573,106215
Alhambra,California,41,42184,43388,85572,1673,44441,2.89,CA,687,44067,1905,31386,20811
Allen,Pennsylvania,33.5,60626,59581,120207,5691,19652,2.67,PA,1076,2670,22304,59176,74187
Allen,Texas,37.2,51324,46814,98138,3505,19649,3.04,TX,227,15790,13140,10615,69840
Amarillo,Texas,33.8,99391,100260,199651,11008,21124,2.64,TX,4260,8563,14050,65392,174214
Ames,Iowa,23,33814,31238,65052,2265,8606,2.16,IA,"",8979,1103,2024,56157
Anaheim,California,33.6,179603,171135,350738,9796,137133,3.45,CA,2489,53270,9775,201593,259820
Anchorage,Alaska,32.2,152945,145750,298695,27492,33258,2.77,AK,36339,36825,23107,27261,212696
Ann Arbor,Michigan,28.1,58789,58281,117070,3614,20717,2.17,MI,1935,18797,9577,5888,90173
Antioch,California,34,54733,55809,110542,5681,24942,3.31,CA,3462,14333,23227,35563,51151
Apple Valley,California,34.3,32873,39312,72185,5714,5801,3.03,CA,1446,2281,9124,25928,60767
Appleton,Wisconsin,35.6,37217,38038,75255,4219,4454,2.49,WI,835,5561,3407,5139,64674
Arden-Arcade,California,41.5,47596,48680,96276,6511,13458,2.18,CA,2587,7355,13647,15273,69369
Arlington,Texas,32.6,191060,197062,388122,17050,79271,2.89,TX,2918,31804,92955,112078,251155
Arlington,Virginia,34.4,113981,115183,229164,12719,55205,2.19,VA,845,28595,22372,35911,171673
Arlington Heights,Illinois,45.9,37627,39369,76996,3027,14630,2.38,IL,"",9975,1222,2742,66285
Arvada,Colorado,41,54870,60165,115035,8930,4921,2.49,CO,2370,2922,2985,16419,107639
Asheville,North Carolina,37.9,42100,46407,88507,4973,6630,2.18,NC,496,1939,9078,4146,77979
Atascocita,Texas,32.8,37424,40816,78240,4416,8657,3.03,TX,1024,2441,21491,20441,50630
Athens-Clarke County unified government,Georgia,26.5,57415,65148,122563,3953,12868,2.44,GA,593,6635,34583,13159,79931
Atlanta,Georgia,33.8,223960,239915,463875,18572,32016,2.15,GA,4606,24268,245367,18653,196316
Auburn,Washington,37.1,36837,39743,76580,5401,14842,2.73,WA,3042,12341,4032,10836,58293
Augusta-Richmond County consolidated government,Georgia,33.7,94662,101917,196579,19085,7915,2.67,GA,1667,4429,112271,9068,77940
Aurora,Colorado,34.2,177899,180971,358870,25158,65816,2.82,CO,8277,24673,61894,109396,239803
Aurora,Illinois,31.7,101964,101751,203715,4988,50980,3.3,IL,1179,17190,23736,86653,115903
Austin,Texas,32.7,475718,456122,931840,37414,181686,2.5,TX,10890,78916,81861,327680,708171
Avondale,Arizona,29.1,38712,41971,80683,4815,8355,3.18,AZ,613,2828,11592,34716,62176
Bakersfield,California,30.6,182154,191473,373627,12284,71575,3.23,CA,7357,31929,34240,180241,272853
Baldwin Park,California,35.8,38747,38309,77056,780,34322,4.13,CA,316,15505,1560,56282,36890
Baltimore,Maryland,34.7,294027,327822,621849,29540,49857,2.51,MD,7730,20161,396270,29953,207274
Baton Rouge,Louisiana,31.2,111492,117104,228596,10633,12268,2.52,LA,1119,7442,122634,7428,96730
Bay,Texas,32.9,37977,37508,75485,3478,13192,2.59,TX,2167,2819,16782,31672,48797
BayamÃÂÃÂ³n,Puerto Rico,39.4,80128,90131,170259,"","","",PR,"","","",169155,""
Bayonne,New Jersey,39.7,32705,33598,66303,2225,21899,2.62,NJ,"",7171,7581,19525,41431
Beaumont,Texas,31.6,57326,60784,118110,7584,10516,2.47,TX,908,4079,58008,18815,53597
Beaverton,Oregon,35.6,47325,49252,96577,4645,18933,2.46,OR,905,10538,3100,15452,80975
Bellevue,Washington,37.4,70763,69051,139814,5382,54654,2.43,WA,1949,52223,4151,12215,82378
